,question,choice0,choice1,choice2,choice3,answer,prediction,completion
0,Which of the following statements expresses a relationship between aging and sexual functioning,Aging is related to an increase in vaginal lubrication,Aging is associated with an increase in the frequency and number of orgasmic contractions in both sexes,There is no significant relationship between aging and sexual responses in either sex,Aging is related to some loss of erectile rigidity in the male,3,D,"The following are multiple choice questions (with answers) about  professional psychology.

One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to
A. tell your client the pros and cons of each program you know about except for the one in which you are enrolled
B. recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive
C. recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program
D. tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program
Answer: D

There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?
A. less sensitive to extreme scores than the mean
B. more useful for skewed distributions
C. sensitive to extreme values and highly skewed distributions
D. the most frequently occurring number
Answer: D

In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:
A. individualism.
B. individualism and power distance.
C. power distance and masculinity.
D. uncertainty avoidance.
Answer: A

Carl Jung believed that a client's transference:
A. is a fantasy that distracts the client from reality.
B. represents “mixed feelings” toward the therapist. 
C. ""is a form of """"acting out.""""""
D. reflects the client’s personal and collective unconscious.
Answer: D

In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors
A. are uncorrelated with each other but are moderately correlated with the criterion
B. have low correlations with each other and low correlations with the criterion
C. are highly intercorrelated with each other and moderately correlated with the criterion
D. have low correlations with the criterion bur are moderately correlated with each other
Answer: A

Which of the following statements expresses a relationship between aging and sexual functioning
A. Aging is related to an increase in vaginal lubrication
B. Aging is associated with an increase in the frequency and number of orgasmic contractions in both sexes
C. There is no significant relationship between aging and sexual responses in either sex
D. Aging is related to some loss of erectile rigidity in the male
Answer: D"
1,"According to Piaget, children are ___________.",“Blank slates”,Less intelligent than adults,“Little scientists”,Shaped by culture,2,C,"The following are multiple choice questions (with answers) about  professional psychology.

One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to
A. tell your client the pros and cons of each program you know about except for the one in which you are enrolled
B. recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive
C. recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program
D. tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program
Answer: D

There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?
A. less sensitive to extreme scores than the mean
B. more useful for skewed distributions
C. sensitive to extreme values and highly skewed distributions
D. the most frequently occurring number
Answer: D

In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:
A. individualism.
B. individualism and power distance.
C. power distance and masculinity.
D. uncertainty avoidance.
Answer: A

Carl Jung believed that a client's transference:
A. is a fantasy that distracts the client from reality.
B. represents “mixed feelings” toward the therapist. 
C. ""is a form of """"acting out.""""""
D. reflects the client’s personal and collective unconscious.
Answer: D

In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors
A. are uncorrelated with each other but are moderately correlated with the criterion
B. have low correlations with each other and low correlations with the criterion
C. are highly intercorrelated with each other and moderately correlated with the criterion
D. have low correlations with the criterion bur are moderately correlated with each other
Answer: A

According to Piaget, children are ___________.
A. “Blank slates”
B. Less intelligent than adults
C. “Little scientists”
D. Shaped by culture
Answer: C"
2,"If a test has a standard error of measurement of 15 points, itis correct to conclude that",about 68% of the observed scores for the test population lie within 15 points of the mean score,about 68% of the individuals with a given cure score will have observed scores within 15 points of the true score,"about 15% of the scores are in error (i.e., they are not measuring the trait reliably)",differences of up to 30 points represent the same true score,1,A,"The following are multiple choice questions (with answers) about  professional psychology.

One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to
A. tell your client the pros and cons of each program you know about except for the one in which you are enrolled
B. recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive
C. recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program
D. tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program
Answer: D

There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?
A. less sensitive to extreme scores than the mean
B. more useful for skewed distributions
C. sensitive to extreme values and highly skewed distributions
D. the most frequently occurring number
Answer: D

In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:
A. individualism.
B. individualism and power distance.
C. power distance and masculinity.
D. uncertainty avoidance.
Answer: A

Carl Jung believed that a client's transference:
A. is a fantasy that distracts the client from reality.
B. represents “mixed feelings” toward the therapist. 
C. ""is a form of """"acting out.""""""
D. reflects the client’s personal and collective unconscious.
Answer: D

In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors
A. are uncorrelated with each other but are moderately correlated with the criterion
B. have low correlations with each other and low correlations with the criterion
C. are highly intercorrelated with each other and moderately correlated with the criterion
D. have low correlations with the criterion bur are moderately correlated with each other
Answer: A

If a test has a standard error of measurement of 15 points, itis correct to conclude that
A. about 68% of the observed scores for the test population lie within 15 points of the mean score
B. about 68% of the individuals with a given cure score will have observed scores within 15 points of the true score
C. about 15% of the scores are in error (i.e., they are not measuring the trait reliably)
D. differences of up to 30 points represent the same true score
Answer: A"
3,Any substance that can have a negative impact on fetal development is ___________.,An Apgar,A teratogen,Only a problem in the first 6 weeks,A controlled substance,1,B,"The following are multiple choice questions (with answers) about  professional psychology.

One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to
A. tell your client the pros and cons of each program you know about except for the one in which you are enrolled
B. recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive
C. recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program
D. tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program
Answer: D

There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?
A. less sensitive to extreme scores than the mean
B. more useful for skewed distributions
C. sensitive to extreme values and highly skewed distributions
D. the most frequently occurring number
Answer: D

In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:
A. individualism.
B. individualism and power distance.
C. power distance and masculinity.
D. uncertainty avoidance.
Answer: A

Carl Jung believed that a client's transference:
A. is a fantasy that distracts the client from reality.
B. represents “mixed feelings” toward the therapist. 
C. ""is a form of """"acting out.""""""
D. reflects the client’s personal and collective unconscious.
Answer: D

In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors
A. are uncorrelated with each other but are moderately correlated with the criterion
B. have low correlations with each other and low correlations with the criterion
C. are highly intercorrelated with each other and moderately correlated with the criterion
D. have low correlations with the criterion bur are moderately correlated with each other
Answer: A

Any substance that can have a negative impact on fetal development is ___________.
A. An Apgar
B. A teratogen
C. Only a problem in the first 6 weeks
D. A controlled substance
Answer: B"
4,"If you were hired by a large company to develop a new training program, your first step would probably be to conduct a:",needs analysis.,job evaluation.,summative evaluation.,formative evaluation.,0,A,"The following are multiple choice questions (with answers) about  professional psychology.

One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to
A. tell your client the pros and cons of each program you know about except for the one in which you are enrolled
B. recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive
C. recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program
D. tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program
Answer: D

There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?
A. less sensitive to extreme scores than the mean
B. more useful for skewed distributions
C. sensitive to extreme values and highly skewed distributions
D. the most frequently occurring number
Answer: D

In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:
A. individualism.
B. individualism and power distance.
C. power distance and masculinity.
D. uncertainty avoidance.
Answer: A

Carl Jung believed that a client's transference:
A. is a fantasy that distracts the client from reality.
B. represents “mixed feelings” toward the therapist. 
C. ""is a form of """"acting out.""""""
D. reflects the client’s personal and collective unconscious.
Answer: D

In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors
A. are uncorrelated with each other but are moderately correlated with the criterion
B. have low correlations with each other and low correlations with the criterion
C. are highly intercorrelated with each other and moderately correlated with the criterion
D. have low correlations with the criterion bur are moderately correlated with each other
Answer: A

If you were hired by a large company to develop a new training program, your first step would probably be to conduct a:
A. needs analysis.
B. job evaluation.
C. summative evaluation.
D. formative evaluation.
Answer: A"
5,Practitioners of Gestalt psychotherapy consider a client’s desire to talk about his/her past as:,a useful strategy for helping the client understand the present.,a way for the client to avoid coming to terms with the present.,"""the """"second layer"""" of therapy.""","""a way for achieving """"closure"""" near the end of therapy.""",1,A,"The following are multiple choice questions (with answers) about  professional psychology.

One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to
A. tell your client the pros and cons of each program you know about except for the one in which you are enrolled
B. recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive
C. recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program
D. tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program
Answer: D

There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?
A. less sensitive to extreme scores than the mean
B. more useful for skewed distributions
C. sensitive to extreme values and highly skewed distributions
D. the most frequently occurring number
Answer: D

In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:
A. individualism.
B. individualism and power distance.
C. power distance and masculinity.
D. uncertainty avoidance.
Answer: A

Carl Jung believed that a client's transference:
A. is a fantasy that distracts the client from reality.
B. represents “mixed feelings” toward the therapist. 
C. ""is a form of """"acting out.""""""
D. reflects the client’s personal and collective unconscious.
Answer: D

In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors
A. are uncorrelated with each other but are moderately correlated with the criterion
B. have low correlations with each other and low correlations with the criterion
C. are highly intercorrelated with each other and moderately correlated with the criterion
D. have low correlations with the criterion bur are moderately correlated with each other
Answer: A

Practitioners of Gestalt psychotherapy consider a client’s desire to talk about his/her past as:
A. a useful strategy for helping the client understand the present.
B. a way for the client to avoid coming to terms with the present.
C. ""the """"second layer"""" of therapy.""
D. ""a way for achieving """"closure"""" near the end of therapy.""
Answer: A"
6,"In regard to memory, aging is most closely associated with a decline in",the efficiency of controlled memory processes,"metamemory skills, or knowledge about memory",recognition memory,the amount of factual memory knowledge available,0,A,"The following are multiple choice questions (with answers) about  professional psychology.

One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to
A. tell your client the pros and cons of each program you know about except for the one in which you are enrolled
B. recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive
C. recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program
D. tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program
Answer: D

There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?
A. less sensitive to extreme scores than the mean
B. more useful for skewed distributions
C. sensitive to extreme values and highly skewed distributions
D. the most frequently occurring number
Answer: D

In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:
A. individualism.
B. individualism and power distance.
C. power distance and masculinity.
D. uncertainty avoidance.
Answer: A

Carl Jung believed that a client's transference:
A. is a fantasy that distracts the client from reality.
B. represents “mixed feelings” toward the therapist. 
C. ""is a form of """"acting out.""""""
D. reflects the client’s personal and collective unconscious.
Answer: D

In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors
A. are uncorrelated with each other but are moderately correlated with the criterion
B. have low correlations with each other and low correlations with the criterion
C. are highly intercorrelated with each other and moderately correlated with the criterion
D. have low correlations with the criterion bur are moderately correlated with each other
Answer: A

In regard to memory, aging is most closely associated with a decline in
A. the efficiency of controlled memory processes
B. metamemory skills, or knowledge about memory
C. recognition memory
D. the amount of factual memory knowledge available
Answer: A"
7,"A 66-year-old client who is depressed, has rhythmic hand movements, and has a flattened affect is probably suffering from",Parkinson's disease,Vascular Dementia,a right frontal lobe tumor,Alzheimer's disease,0,D,"The following are multiple choice questions (with answers) about  professional psychology.

One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to
A. tell your client the pros and cons of each program you know about except for the one in which you are enrolled
B. recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive
C. recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program
D. tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program
Answer: D

There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?
A. less sensitive to extreme scores than the mean
B. more useful for skewed distributions
C. sensitive to extreme values and highly skewed distributions
D. the most frequently occurring number
Answer: D

In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:
A. individualism.
B. individualism and power distance.
C. power distance and masculinity.
D. uncertainty avoidance.
Answer: A

Carl Jung believed that a client's transference:
A. is a fantasy that distracts the client from reality.
B. represents “mixed feelings” toward the therapist. 
C. ""is a form of """"acting out.""""""
D. reflects the client’s personal and collective unconscious.
Answer: D

In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors
A. are uncorrelated with each other but are moderately correlated with the criterion
B. have low correlations with each other and low correlations with the criterion
C. are highly intercorrelated with each other and moderately correlated with the criterion
D. have low correlations with the criterion bur are moderately correlated with each other
Answer: A

A 66-year-old client who is depressed, has rhythmic hand movements, and has a flattened affect is probably suffering from
A. Parkinson's disease
B. Vascular Dementia
C. a right frontal lobe tumor
D. Alzheimer's disease
Answer: D"
8,"One Friday afternoon, just before leaving on a weekend tip, a psychologist receives a call from a therapy client who claims to have taken an overdose of pills in a suicide attempt. The psychologist: tells the client to call a physician immediately and to come in at 9:00 A.M. on Monday for a session. The psychologist makes no other attempt to intervene, and the client dies later that evening without making any other calls for assistance. In this situation, the psychologist's behavior was clearly","unethical, because the client's needs were not addressed more directly","unethical, because the psychologist should have delayed the trip and given the client an appointment for that afternoon","unethical, because the psychologist should have called a physician directly","ethical, because it was not possible to determine whether or not the client was being manipulative",0,A,"The following are multiple choice questions (with answers) about  professional psychology.

One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to
A. tell your client the pros and cons of each program you know about except for the one in which you are enrolled
B. recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive
C. recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program
D. tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program
Answer: D

There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?
A. less sensitive to extreme scores than the mean
B. more useful for skewed distributions
C. sensitive to extreme values and highly skewed distributions
D. the most frequently occurring number
Answer: D

In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:
A. individualism.
B. individualism and power distance.
C. power distance and masculinity.
D. uncertainty avoidance.
Answer: A

Carl Jung believed that a client's transference:
A. is a fantasy that distracts the client from reality.
B. represents “mixed feelings” toward the therapist. 
C. ""is a form of """"acting out.""""""
D. reflects the client’s personal and collective unconscious.
Answer: D

In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors
A. are uncorrelated with each other but are moderately correlated with the criterion
B. have low correlations with each other and low correlations with the criterion
C. are highly intercorrelated with each other and moderately correlated with the criterion
D. have low correlations with the criterion bur are moderately correlated with each other
Answer: A

One Friday afternoon, just before leaving on a weekend tip, a psychologist receives a call from a therapy client who claims to have taken an overdose of pills in a suicide attempt. The psychologist: tells the client to call a physician immediately and to come in at 9:00 A.M. on Monday for a session. The psychologist makes no other attempt to intervene, and the client dies later that evening without making any other calls for assistance. In this situation, the psychologist's behavior was clearly
A. unethical, because the client's needs were not addressed more directly
B. unethical, because the psychologist should have delayed the trip and given the client an appointment for that afternoon
C. unethical, because the psychologist should have called a physician directly
D. ethical, because it was not possible to determine whether or not the client was being manipulative
Answer: A"
9,A family therapist using the structural approach of Salvador Minuchin would most likely:,clarify boundaries between family members in order to reduce enmeshment.,work initially with the most differentiated family member.,"""use a multiple-therapist team to prevent any one therapist from becoming """"triangulated"""" into the family system.""","""issue specific """"directives"""" designed to counteract dysfunctional processes.""",0,A,"The following are multiple choice questions (with answers) about  professional psychology.

One of your therapy clients asks your advice about a good weight- reduction program. You have investigated the programs in the community and are enrolled in the one you consider the best. This program offers a $50 bonus to its patrons for each new person they bring into the program. Under these circumstances, your most appropriate response would be to
A. tell your client the pros and cons of each program you know about except for the one in which you are enrolled
B. recommend to your client the program in which you are enrolled and explain the $50 bonus you will receive
C. recommend to your client the program in which you are enrolled and offer to have the $50 bonus credited to your client's account in the program
D. tell your client the pros and cons of each program you know about, but do not claim the $50 bonus if your client enrolls in your program
Answer: D

There are three ways to measure the Central Tendency: the Mean, the Median and the Mode. From your knowledge about them, what is the mode?
A. less sensitive to extreme scores than the mean
B. more useful for skewed distributions
C. sensitive to extreme values and highly skewed distributions
D. the most frequently occurring number
Answer: D

In terms of Hofstede’s (1980) five cultural dimensions, the United States scores at the top of the scale on:
A. individualism.
B. individualism and power distance.
C. power distance and masculinity.
D. uncertainty avoidance.
Answer: A

Carl Jung believed that a client's transference:
A. is a fantasy that distracts the client from reality.
B. represents “mixed feelings” toward the therapist. 
C. ""is a form of """"acting out.""""""
D. reflects the client’s personal and collective unconscious.
Answer: D

In the construction of a multiple regression equation for purposes of prediction, the optimal combination of measures is one in which the predictors
A. are uncorrelated with each other but are moderately correlated with the criterion
B. have low correlations with each other and low correlations with the criterion
C. are highly intercorrelated with each other and moderately correlated with the criterion
D. have low correlations with the criterion bur are moderately correlated with each other
Answer: A

A family therapist using the structural approach of Salvador Minuchin would most likely:
A. clarify boundaries between family members in order to reduce enmeshment.
B. work initially with the most differentiated family member.
C. ""use a multiple-therapist team to prevent any one therapist from becoming """"triangulated"""" into the family system.""
D. ""issue specific """"directives"""" designed to counteract dysfunctional processes.""
Answer: A"
