,question,choice0,choice1,choice2,choice3,answer,prediction,completion
0,Mass-society theory suggests that:,the content of the media is determined by market forces,the subordinate classes are dominated by the ideology of the ruling class,"the media manipulate 'the masses' as vulnerable, passive consumers",audiences make selective interpretations of media messages,2,C,"The following are multiple choice questions (with answers) about  sociology.

Which of the following did the post-war welfare state of 1948 not aim to provide:
A. free health care and education for all
B. a minimum wage
C. full employment
D. universal welfare
Answer: B

What does Berger (1963) describe as a metaphor for social reality?
A. a fairground ride
B. a circus
C. a puppet theatre
D. a ballet
Answer: C

The shift from 'civil religion' to 'common religion' means that:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings
Answer: B

The term 'hegemony' refers to:
A. the tendency for the working class not to realize their own interests
B. a dominant ideology that legitimates economic, political and cultural power
C. a form of dual consciousness based on ideology and everyday experiences
D. a mode of payment given for outstanding topiary
Answer: B

Which of the following is not a problem associated with official statistics on strike action?
A. most strikes go unnoticed by employers and the mass media
B. not all industrial disputes will be reported by the employer
C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day
D. it is hard to compare strikes that were measured in different ways
Answer: A

Mass-society theory suggests that:
A. the content of the media is determined by market forces
B. the subordinate classes are dominated by the ideology of the ruling class
C. the media manipulate 'the masses' as vulnerable, passive consumers
D. audiences make selective interpretations of media messages
Answer: C"
1,The ecological approach to urban sociology involved studying:,how social groups colonized different areas of the city and competed for resources,the forms of wildlife and natural habitats that could be found on the edges of the city,the way in which people organized collective protests about environmental issues,how men and women used the city's public spaces differently,0,A,"The following are multiple choice questions (with answers) about  sociology.

Which of the following did the post-war welfare state of 1948 not aim to provide:
A. free health care and education for all
B. a minimum wage
C. full employment
D. universal welfare
Answer: B

What does Berger (1963) describe as a metaphor for social reality?
A. a fairground ride
B. a circus
C. a puppet theatre
D. a ballet
Answer: C

The shift from 'civil religion' to 'common religion' means that:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings
Answer: B

The term 'hegemony' refers to:
A. the tendency for the working class not to realize their own interests
B. a dominant ideology that legitimates economic, political and cultural power
C. a form of dual consciousness based on ideology and everyday experiences
D. a mode of payment given for outstanding topiary
Answer: B

Which of the following is not a problem associated with official statistics on strike action?
A. most strikes go unnoticed by employers and the mass media
B. not all industrial disputes will be reported by the employer
C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day
D. it is hard to compare strikes that were measured in different ways
Answer: A

The ecological approach to urban sociology involved studying:
A. how social groups colonized different areas of the city and competed for resources
B. the forms of wildlife and natural habitats that could be found on the edges of the city
C. the way in which people organized collective protests about environmental issues
D. how men and women used the city's public spaces differently
Answer: A"
2,Becker proclaimed that cannabis use was:,increasing throughout all sections of youth in the 1970s,learned gradually through the social processes of a deviant career,a dangerous pastime that young people should not be allowed to pursue,not as enjoyable as other sociologists had suggested,1,A,"The following are multiple choice questions (with answers) about  sociology.

Which of the following did the post-war welfare state of 1948 not aim to provide:
A. free health care and education for all
B. a minimum wage
C. full employment
D. universal welfare
Answer: B

What does Berger (1963) describe as a metaphor for social reality?
A. a fairground ride
B. a circus
C. a puppet theatre
D. a ballet
Answer: C

The shift from 'civil religion' to 'common religion' means that:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings
Answer: B

The term 'hegemony' refers to:
A. the tendency for the working class not to realize their own interests
B. a dominant ideology that legitimates economic, political and cultural power
C. a form of dual consciousness based on ideology and everyday experiences
D. a mode of payment given for outstanding topiary
Answer: B

Which of the following is not a problem associated with official statistics on strike action?
A. most strikes go unnoticed by employers and the mass media
B. not all industrial disputes will be reported by the employer
C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day
D. it is hard to compare strikes that were measured in different ways
Answer: A

Becker proclaimed that cannabis use was:
A. increasing throughout all sections of youth in the 1970s
B. learned gradually through the social processes of a deviant career
C. a dangerous pastime that young people should not be allowed to pursue
D. not as enjoyable as other sociologists had suggested
Answer: A"
3,The middle classes that developed over the nineteenth century were:,"an urban set, involved in civic bodies and voluntary associations",too diverse to have a strong sense of class consciousness,often involved in 'white collar' work,all of the above,3,A,"The following are multiple choice questions (with answers) about  sociology.

Which of the following did the post-war welfare state of 1948 not aim to provide:
A. free health care and education for all
B. a minimum wage
C. full employment
D. universal welfare
Answer: B

What does Berger (1963) describe as a metaphor for social reality?
A. a fairground ride
B. a circus
C. a puppet theatre
D. a ballet
Answer: C

The shift from 'civil religion' to 'common religion' means that:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings
Answer: B

The term 'hegemony' refers to:
A. the tendency for the working class not to realize their own interests
B. a dominant ideology that legitimates economic, political and cultural power
C. a form of dual consciousness based on ideology and everyday experiences
D. a mode of payment given for outstanding topiary
Answer: B

Which of the following is not a problem associated with official statistics on strike action?
A. most strikes go unnoticed by employers and the mass media
B. not all industrial disputes will be reported by the employer
C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day
D. it is hard to compare strikes that were measured in different ways
Answer: A

The middle classes that developed over the nineteenth century were:
A. an urban set, involved in civic bodies and voluntary associations
B. too diverse to have a strong sense of class consciousness
C. often involved in 'white collar' work
D. all of the above
Answer: A"
4,Technological forms of surveillance have made it easier to:,access and exchange 'private' information about consumers,reduce prison overcrowding by the use of electronic tagging,monitor employees' activities at work,all of the above,3,D,"The following are multiple choice questions (with answers) about  sociology.

Which of the following did the post-war welfare state of 1948 not aim to provide:
A. free health care and education for all
B. a minimum wage
C. full employment
D. universal welfare
Answer: B

What does Berger (1963) describe as a metaphor for social reality?
A. a fairground ride
B. a circus
C. a puppet theatre
D. a ballet
Answer: C

The shift from 'civil religion' to 'common religion' means that:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings
Answer: B

The term 'hegemony' refers to:
A. the tendency for the working class not to realize their own interests
B. a dominant ideology that legitimates economic, political and cultural power
C. a form of dual consciousness based on ideology and everyday experiences
D. a mode of payment given for outstanding topiary
Answer: B

Which of the following is not a problem associated with official statistics on strike action?
A. most strikes go unnoticed by employers and the mass media
B. not all industrial disputes will be reported by the employer
C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day
D. it is hard to compare strikes that were measured in different ways
Answer: A

Technological forms of surveillance have made it easier to:
A. access and exchange 'private' information about consumers
B. reduce prison overcrowding by the use of electronic tagging
C. monitor employees' activities at work
D. all of the above
Answer: D"
5,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as,organic solidarity,mechanical solidarity,gesellschaft,anomie,1,A,"The following are multiple choice questions (with answers) about  sociology.

Which of the following did the post-war welfare state of 1948 not aim to provide:
A. free health care and education for all
B. a minimum wage
C. full employment
D. universal welfare
Answer: B

What does Berger (1963) describe as a metaphor for social reality?
A. a fairground ride
B. a circus
C. a puppet theatre
D. a ballet
Answer: C

The shift from 'civil religion' to 'common religion' means that:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings
Answer: B

The term 'hegemony' refers to:
A. the tendency for the working class not to realize their own interests
B. a dominant ideology that legitimates economic, political and cultural power
C. a form of dual consciousness based on ideology and everyday experiences
D. a mode of payment given for outstanding topiary
Answer: B

Which of the following is not a problem associated with official statistics on strike action?
A. most strikes go unnoticed by employers and the mass media
B. not all industrial disputes will be reported by the employer
C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day
D. it is hard to compare strikes that were measured in different ways
Answer: A

The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as
A. organic solidarity
B. mechanical solidarity
C. gesellschaft
D. anomie
Answer: A"
6,There was a growth in income inequality in the 1980s because:,rates of income tax increased equally for all occupational groups,there were more professional jobs available but not enough people to fill them,the price of consumer goods rose at a higher rate than earnings,growing unemployment made more people dependent on welfare benefits,3,C,"The following are multiple choice questions (with answers) about  sociology.

Which of the following did the post-war welfare state of 1948 not aim to provide:
A. free health care and education for all
B. a minimum wage
C. full employment
D. universal welfare
Answer: B

What does Berger (1963) describe as a metaphor for social reality?
A. a fairground ride
B. a circus
C. a puppet theatre
D. a ballet
Answer: C

The shift from 'civil religion' to 'common religion' means that:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings
Answer: B

The term 'hegemony' refers to:
A. the tendency for the working class not to realize their own interests
B. a dominant ideology that legitimates economic, political and cultural power
C. a form of dual consciousness based on ideology and everyday experiences
D. a mode of payment given for outstanding topiary
Answer: B

Which of the following is not a problem associated with official statistics on strike action?
A. most strikes go unnoticed by employers and the mass media
B. not all industrial disputes will be reported by the employer
C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day
D. it is hard to compare strikes that were measured in different ways
Answer: A

There was a growth in income inequality in the 1980s because:
A. rates of income tax increased equally for all occupational groups
B. there were more professional jobs available but not enough people to fill them
C. the price of consumer goods rose at a higher rate than earnings
D. growing unemployment made more people dependent on welfare benefits
Answer: C"
7,"If a deviant act is 'normalized', it is:",recognised as breaking an important norm of behaviour,seen a temporary aberration from an otherwise 'normal' character,the first step in establishing a deviant career,attributed to the person's genetic or anatomical make up,1,B,"The following are multiple choice questions (with answers) about  sociology.

Which of the following did the post-war welfare state of 1948 not aim to provide:
A. free health care and education for all
B. a minimum wage
C. full employment
D. universal welfare
Answer: B

What does Berger (1963) describe as a metaphor for social reality?
A. a fairground ride
B. a circus
C. a puppet theatre
D. a ballet
Answer: C

The shift from 'civil religion' to 'common religion' means that:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings
Answer: B

The term 'hegemony' refers to:
A. the tendency for the working class not to realize their own interests
B. a dominant ideology that legitimates economic, political and cultural power
C. a form of dual consciousness based on ideology and everyday experiences
D. a mode of payment given for outstanding topiary
Answer: B

Which of the following is not a problem associated with official statistics on strike action?
A. most strikes go unnoticed by employers and the mass media
B. not all industrial disputes will be reported by the employer
C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day
D. it is hard to compare strikes that were measured in different ways
Answer: A

If a deviant act is 'normalized', it is:
A. recognised as breaking an important norm of behaviour
B. seen a temporary aberration from an otherwise 'normal' character
C. the first step in establishing a deviant career
D. attributed to the person's genetic or anatomical make up
Answer: B"
8,"In the debate about the 'managerial revolution', John Scott (1997) argued that:",owners still exercised control through groups of shareholders and interlocking directorships,ownership and management were becoming increasingly separate functions,the techniques of scientific management were overly bureaucratic and inefficient,managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses,0,B,"The following are multiple choice questions (with answers) about  sociology.

Which of the following did the post-war welfare state of 1948 not aim to provide:
A. free health care and education for all
B. a minimum wage
C. full employment
D. universal welfare
Answer: B

What does Berger (1963) describe as a metaphor for social reality?
A. a fairground ride
B. a circus
C. a puppet theatre
D. a ballet
Answer: C

The shift from 'civil religion' to 'common religion' means that:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings
Answer: B

The term 'hegemony' refers to:
A. the tendency for the working class not to realize their own interests
B. a dominant ideology that legitimates economic, political and cultural power
C. a form of dual consciousness based on ideology and everyday experiences
D. a mode of payment given for outstanding topiary
Answer: B

Which of the following is not a problem associated with official statistics on strike action?
A. most strikes go unnoticed by employers and the mass media
B. not all industrial disputes will be reported by the employer
C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day
D. it is hard to compare strikes that were measured in different ways
Answer: A

In the debate about the 'managerial revolution', John Scott (1997) argued that:
A. owners still exercised control through groups of shareholders and interlocking directorships
B. ownership and management were becoming increasingly separate functions
C. the techniques of scientific management were overly bureaucratic and inefficient
D. managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses
Answer: B"
9,Marxist feminists explain patriarchy in terms of:,a lack of equal rights and opportunities for men and women,"sex classes, through which men oppress women economically, politically and sexually",women's domestic labour being exploited by the capitalist economy,the dual systems of capitalism and male domination,2,B,"The following are multiple choice questions (with answers) about  sociology.

Which of the following did the post-war welfare state of 1948 not aim to provide:
A. free health care and education for all
B. a minimum wage
C. full employment
D. universal welfare
Answer: B

What does Berger (1963) describe as a metaphor for social reality?
A. a fairground ride
B. a circus
C. a puppet theatre
D. a ballet
Answer: C

The shift from 'civil religion' to 'common religion' means that:
A. the increasing bureaucracy of the state has made religion only a marginal part of our lives
B. despite the weakening of traditional authority, our everyday lives and 'common sense' remain shaped by religious beliefs and values
C. religious participation in collective worship may have declined, but people still practise their faiths in private
D. people are much more likely to discuss their religious beliefs in public, informal settings
Answer: B

The term 'hegemony' refers to:
A. the tendency for the working class not to realize their own interests
B. a dominant ideology that legitimates economic, political and cultural power
C. a form of dual consciousness based on ideology and everyday experiences
D. a mode of payment given for outstanding topiary
Answer: B

Which of the following is not a problem associated with official statistics on strike action?
A. most strikes go unnoticed by employers and the mass media
B. not all industrial disputes will be reported by the employer
C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day
D. it is hard to compare strikes that were measured in different ways
Answer: A

Marxist feminists explain patriarchy in terms of:
A. a lack of equal rights and opportunities for men and women
B. sex classes, through which men oppress women economically, politically and sexually
C. women's domestic labour being exploited by the capitalist economy
D. the dual systems of capitalism and male domination
Answer: B"
