,question,choice0,choice1,choice2,choice3,answer,prediction,completion
0,Which one of the following is the most appropriate definition of a 99% confidence interval?,"99% of the time in repeated samples, the interval would contain the true value of the parameter","99% of the time in repeated samples, the interval would contain the estimated value of the parameter","99% of the time in repeated samples, the null hypothesis will be rejected","99% of the time in repeated samples, the null hypothesis will not be rejected when it was false",0,B,"The following are multiple choice questions (with answers) about  econometrics.

For a stationary autoregressive process, shocks will
A. Eventually die away
B. Persist indefinitely
C. Grow exponentially
D. Never occur
Answer: A

Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by
A. 0.2
B. 0.4
C. 0.5
D. 0.33
Answer: D

Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: C

What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?
A. It will be biased
B. It will be inconsistent
C. It will be inefficient
D. All of (a), (b) and (c) will be true.
Answer: C

Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?
A. 1 lag
B. 2 lags
C. 3 lags
D. 4 lags
Answer: C

Which one of the following is the most appropriate definition of a 99% confidence interval?
A. 99% of the time in repeated samples, the interval would contain the true value of the parameter
B. 99% of the time in repeated samples, the interval would contain the estimated value of the parameter
C. 99% of the time in repeated samples, the null hypothesis will be rejected
D. 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false
Answer: B"
1,What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?,ADF is a single equation approach to unit root testing while PP is a systems approach,PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test,The PP test incorporates an automatic correction for autocorrelated residuals in the test regression,PP tests have good power in small samples whereas DF tests do not.,2,B,"The following are multiple choice questions (with answers) about  econometrics.

For a stationary autoregressive process, shocks will
A. Eventually die away
B. Persist indefinitely
C. Grow exponentially
D. Never occur
Answer: A

Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by
A. 0.2
B. 0.4
C. 0.5
D. 0.33
Answer: D

Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: C

What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?
A. It will be biased
B. It will be inconsistent
C. It will be inefficient
D. All of (a), (b) and (c) will be true.
Answer: C

Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?
A. 1 lag
B. 2 lags
C. 3 lags
D. 4 lags
Answer: C

What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?
A. ADF is a single equation approach to unit root testing while PP is a systems approach
B. PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test
C. The PP test incorporates an automatic correction for autocorrelated residuals in the test regression
D. PP tests have good power in small samples whereas DF tests do not.
Answer: B"
2,"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?",It would rise more quickly for negative disturbances than for positive ones of the same magnitude,It would be symmetrical about zero,It would rise less quickly for negative disturbances than for positive ones of the same magnitude,It would be zero for all positive disturbances,0,A,"The following are multiple choice questions (with answers) about  econometrics.

For a stationary autoregressive process, shocks will
A. Eventually die away
B. Persist indefinitely
C. Grow exponentially
D. Never occur
Answer: A

Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by
A. 0.2
B. 0.4
C. 0.5
D. 0.33
Answer: D

Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: C

What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?
A. It will be biased
B. It will be inconsistent
C. It will be inefficient
D. All of (a), (b) and (c) will be true.
Answer: C

Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?
A. 1 lag
B. 2 lags
C. 3 lags
D. 4 lags
Answer: C

If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?
A. It would rise more quickly for negative disturbances than for positive ones of the same magnitude
B. It would be symmetrical about zero
C. It would rise less quickly for negative disturbances than for positive ones of the same magnitude
D. It would be zero for all positive disturbances
Answer: A"
3,Which of the following statements is false concerning the linear probability model?,There is nothing in the model to ensure that the estimated probabilities lie between zero and one,"Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one",The error terms will be heteroscedastic and not normally distributed,The model is much harder to estimate than a standard regression model with a continuous dependent variable,3,B,"The following are multiple choice questions (with answers) about  econometrics.

For a stationary autoregressive process, shocks will
A. Eventually die away
B. Persist indefinitely
C. Grow exponentially
D. Never occur
Answer: A

Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by
A. 0.2
B. 0.4
C. 0.5
D. 0.33
Answer: D

Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: C

What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?
A. It will be biased
B. It will be inconsistent
C. It will be inefficient
D. All of (a), (b) and (c) will be true.
Answer: C

Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?
A. 1 lag
B. 2 lags
C. 3 lags
D. 4 lags
Answer: C

Which of the following statements is false concerning the linear probability model?
A. There is nothing in the model to ensure that the estimated probabilities lie between zero and one
B. Even if the probabilities are truncated at zero and one, there will probably be many observations for which the probability is either exactly zero or exactly one
C. The error terms will be heteroscedastic and not normally distributed
D. The model is much harder to estimate than a standard regression model with a continuous dependent variable
Answer: B"
4,Which of the following statements concerning the regression population and sample is FALSE?,The population is the total collection of all items of interest,The population can be infinite,"In theory, the sample could be larger than the population",A random sample is one where each individual item from the population is equally likely to be drawn.,2,D,"The following are multiple choice questions (with answers) about  econometrics.

For a stationary autoregressive process, shocks will
A. Eventually die away
B. Persist indefinitely
C. Grow exponentially
D. Never occur
Answer: A

Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by
A. 0.2
B. 0.4
C. 0.5
D. 0.33
Answer: D

Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: C

What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?
A. It will be biased
B. It will be inconsistent
C. It will be inefficient
D. All of (a), (b) and (c) will be true.
Answer: C

Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?
A. 1 lag
B. 2 lags
C. 3 lags
D. 4 lags
Answer: C

Which of the following statements concerning the regression population and sample is FALSE?
A. The population is the total collection of all items of interest
B. The population can be infinite
C. In theory, the sample could be larger than the population
D. A random sample is one where each individual item from the population is equally likely to be drawn.
Answer: D"
5,Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?,"Asymptotically, the values of the two test statistics will be equal",The Q test has better small-sample properties than the Q*,The Q test is sometimes over-sized for small samples,"As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.",1,B,"The following are multiple choice questions (with answers) about  econometrics.

For a stationary autoregressive process, shocks will
A. Eventually die away
B. Persist indefinitely
C. Grow exponentially
D. Never occur
Answer: A

Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by
A. 0.2
B. 0.4
C. 0.5
D. 0.33
Answer: D

Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: C

What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?
A. It will be biased
B. It will be inconsistent
C. It will be inefficient
D. All of (a), (b) and (c) will be true.
Answer: C

Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?
A. 1 lag
B. 2 lags
C. 3 lags
D. 4 lags
Answer: C

Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?
A. Asymptotically, the values of the two test statistics will be equal
B. The Q test has better small-sample properties than the Q*
C. The Q test is sometimes over-sized for small samples
D. As the sample size tends towards infinity, both tests will show a tendency to always reject the null hypothesis of zero autocorrelation coefficients.
Answer: B"
6,A parsimonious model is one that,Includes too many variables,Includes as few variables as possible to explain the data,Is a well-specified model,Is a mis-specified model,0,B,"The following are multiple choice questions (with answers) about  econometrics.

For a stationary autoregressive process, shocks will
A. Eventually die away
B. Persist indefinitely
C. Grow exponentially
D. Never occur
Answer: A

Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by
A. 0.2
B. 0.4
C. 0.5
D. 0.33
Answer: D

Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: C

What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?
A. It will be biased
B. It will be inconsistent
C. It will be inefficient
D. All of (a), (b) and (c) will be true.
Answer: C

Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?
A. 1 lag
B. 2 lags
C. 3 lags
D. 4 lags
Answer: C

A parsimonious model is one that
A. Includes too many variables
B. Includes as few variables as possible to explain the data
C. Is a well-specified model
D. Is a mis-specified model
Answer: B"
7,Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?,They can be interpreted as continuously compounded changes in the prices,They can be added over time to give returns for longer time periods,They can be added across a portfolio of assets to give portfolio returns,They are usually fat-tailed,2,D,"The following are multiple choice questions (with answers) about  econometrics.

For a stationary autoregressive process, shocks will
A. Eventually die away
B. Persist indefinitely
C. Grow exponentially
D. Never occur
Answer: A

Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by
A. 0.2
B. 0.4
C. 0.5
D. 0.33
Answer: D

Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: C

What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?
A. It will be biased
B. It will be inconsistent
C. It will be inefficient
D. All of (a), (b) and (c) will be true.
Answer: C

Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?
A. 1 lag
B. 2 lags
C. 3 lags
D. 4 lags
Answer: C

Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?
A. They can be interpreted as continuously compounded changes in the prices
B. They can be added over time to give returns for longer time periods
C. They can be added across a portfolio of assets to give portfolio returns
D. They are usually fat-tailed
Answer: D"
8,"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns",(ii) and (iv) only,(i) and (iii) only,"(i), (ii), and (iii) only","(i), (ii), (iii), and (iv)",1,D,"The following are multiple choice questions (with answers) about  econometrics.

For a stationary autoregressive process, shocks will
A. Eventually die away
B. Persist indefinitely
C. Grow exponentially
D. Never occur
Answer: A

Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by
A. 0.2
B. 0.4
C. 0.5
D. 0.33
Answer: D

Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: C

What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?
A. It will be biased
B. It will be inconsistent
C. It will be inefficient
D. All of (a), (b) and (c) will be true.
Answer: C

Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?
A. 1 lag
B. 2 lags
C. 3 lags
D. 4 lags
Answer: C

Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: D"
9,"Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?",Less than -1,Between -1 and 0,Between 0 and 1,Bigger than 1,2,B,"The following are multiple choice questions (with answers) about  econometrics.

For a stationary autoregressive process, shocks will
A. Eventually die away
B. Persist indefinitely
C. Grow exponentially
D. Never occur
Answer: A

Consider the following AR(1) model with the disturbances having zero mean and unit variance

yt = 0.2 + 0.4 yt-1 + ut

The (unconditional) mean of y will be given by
A. 0.2
B. 0.4
C. 0.5
D. 0.33
Answer: D

Suppose that a test statistic has associated with it a p-value of 0.08. Which one of the following statements is true?

(i) If the size of the test were exactly 8%, we would be indifferent between rejecting and not rejecting the null hypothesis

(ii) The null would be rejected if a 10% size of test were used

(iii) The null would not be rejected if a 1% size of test were used

(iv) The null would be rejected if a 5% size of test were used.
A. (ii) and (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer: C

What would be then consequences for the OLS estimator if heteroscedasticity is present in a regression model but ignored?
A. It will be biased
B. It will be inconsistent
C. It will be inefficient
D. All of (a), (b) and (c) will be true.
Answer: C

Suppose now that a researcher wishes to use information criteria to determine the optimal lag length for a VAR. 500 observations are available for the bi-variate VAR, and the values of the determinant of the variance-covariance matrix of residuals are 0.0336, 0.0169, 0.0084, and 0.0062 for 1, 2, 3, and 4 lags respectively. What is the optimal model order according to Akaike's information criterion?
A. 1 lag
B. 2 lags
C. 3 lags
D. 4 lags
Answer: C

Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?
A. Less than -1
B. Between -1 and 0
C. Between 0 and 1
D. Bigger than 1
Answer: B"
