,question,choice0,choice1,choice2,choice3,answer,prediction,completion
0,Which of the following methods of detecting breast cancer involves exposure to radiation?,Needle aspiration,Mammography,Mastectomy,Lumpectomy,1,B,"The following are multiple choice questions (with answers) about  human sexuality.

Morning sickness is typically a problem:
A. during the first trimester
B. during the second trimester
C. during the third trimester
D. all through the pregnancy
Answer: A

A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:
A. a strong ego
B. a weak superego
C. a weak id
D. a strong superego
Answer: B

Women's ability to have multiple orgasms is primarily due to:
A. the fact that they do not have a refractory period.
B. the response of the inner layers of the vagina.
C. having alternating orgasms in different locations.
D. the G-Spot.
Answer: A

The nature of homosexual activities that occur during preadolescence include all but which of the following?
A. sexual intercourse
B. circle jerks
C. exhibitionism
D. touching each other's genitals
Answer: A

The most common disorder among men who seek sexual therapy is:
A. premature ejaculation
B. inhibited ejaculation
C. erectile disorder
D. ejaculatory disorder
Answer: C

Which of the following methods of detecting breast cancer involves exposure to radiation?
A. Needle aspiration
B. Mammography
C. Mastectomy
D. Lumpectomy
Answer: B"
1,"The regions of the body that, when touched, are sexually exciting:",vary from person to person,vary for women depending on the phases of the menstrual cycle,are mainly on the lower portion of the body,all of the above,3,D,"The following are multiple choice questions (with answers) about  human sexuality.

Morning sickness is typically a problem:
A. during the first trimester
B. during the second trimester
C. during the third trimester
D. all through the pregnancy
Answer: A

A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:
A. a strong ego
B. a weak superego
C. a weak id
D. a strong superego
Answer: B

Women's ability to have multiple orgasms is primarily due to:
A. the fact that they do not have a refractory period.
B. the response of the inner layers of the vagina.
C. having alternating orgasms in different locations.
D. the G-Spot.
Answer: A

The nature of homosexual activities that occur during preadolescence include all but which of the following?
A. sexual intercourse
B. circle jerks
C. exhibitionism
D. touching each other's genitals
Answer: A

The most common disorder among men who seek sexual therapy is:
A. premature ejaculation
B. inhibited ejaculation
C. erectile disorder
D. ejaculatory disorder
Answer: C

The regions of the body that, when touched, are sexually exciting:
A. vary from person to person
B. vary for women depending on the phases of the menstrual cycle
C. are mainly on the lower portion of the body
D. all of the above
Answer: D"
2,Which of the following is/are true of gonorrhea?,can be treated with antibiotics,has a high risk of infection with a single exposure,is asymptomatic (without symptoms) in only a small percentage of those infected,infections are limited to genital areas,0,A,"The following are multiple choice questions (with answers) about  human sexuality.

Morning sickness is typically a problem:
A. during the first trimester
B. during the second trimester
C. during the third trimester
D. all through the pregnancy
Answer: A

A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:
A. a strong ego
B. a weak superego
C. a weak id
D. a strong superego
Answer: B

Women's ability to have multiple orgasms is primarily due to:
A. the fact that they do not have a refractory period.
B. the response of the inner layers of the vagina.
C. having alternating orgasms in different locations.
D. the G-Spot.
Answer: A

The nature of homosexual activities that occur during preadolescence include all but which of the following?
A. sexual intercourse
B. circle jerks
C. exhibitionism
D. touching each other's genitals
Answer: A

The most common disorder among men who seek sexual therapy is:
A. premature ejaculation
B. inhibited ejaculation
C. erectile disorder
D. ejaculatory disorder
Answer: C

Which of the following is/are true of gonorrhea?
A. can be treated with antibiotics
B. has a high risk of infection with a single exposure
C. is asymptomatic (without symptoms) in only a small percentage of those infected
D. infections are limited to genital areas
Answer: A"
3,"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",the id,the ego,the superego,the Oedipus complex,0,A,"The following are multiple choice questions (with answers) about  human sexuality.

Morning sickness is typically a problem:
A. during the first trimester
B. during the second trimester
C. during the third trimester
D. all through the pregnancy
Answer: A

A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:
A. a strong ego
B. a weak superego
C. a weak id
D. a strong superego
Answer: B

Women's ability to have multiple orgasms is primarily due to:
A. the fact that they do not have a refractory period.
B. the response of the inner layers of the vagina.
C. having alternating orgasms in different locations.
D. the G-Spot.
Answer: A

The nature of homosexual activities that occur during preadolescence include all but which of the following?
A. sexual intercourse
B. circle jerks
C. exhibitionism
D. touching each other's genitals
Answer: A

The most common disorder among men who seek sexual therapy is:
A. premature ejaculation
B. inhibited ejaculation
C. erectile disorder
D. ejaculatory disorder
Answer: C

You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?
A. the id
B. the ego
C. the superego
D. the Oedipus complex
Answer: A"
4,Sociobiologists believe that there are more males than females with paraphilias because:,paraphilias guarantee survival of the species,evolutionary selection has favored the development of males who respond to novel sexual stimuli,of left brain/right brain differences between the genders,male brains are better developed than are female brains,1,B,"The following are multiple choice questions (with answers) about  human sexuality.

Morning sickness is typically a problem:
A. during the first trimester
B. during the second trimester
C. during the third trimester
D. all through the pregnancy
Answer: A

A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:
A. a strong ego
B. a weak superego
C. a weak id
D. a strong superego
Answer: B

Women's ability to have multiple orgasms is primarily due to:
A. the fact that they do not have a refractory period.
B. the response of the inner layers of the vagina.
C. having alternating orgasms in different locations.
D. the G-Spot.
Answer: A

The nature of homosexual activities that occur during preadolescence include all but which of the following?
A. sexual intercourse
B. circle jerks
C. exhibitionism
D. touching each other's genitals
Answer: A

The most common disorder among men who seek sexual therapy is:
A. premature ejaculation
B. inhibited ejaculation
C. erectile disorder
D. ejaculatory disorder
Answer: C

Sociobiologists believe that there are more males than females with paraphilias because:
A. paraphilias guarantee survival of the species
B. evolutionary selection has favored the development of males who respond to novel sexual stimuli
C. of left brain/right brain differences between the genders
D. male brains are better developed than are female brains
Answer: B"
5,"According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse.",felt glad,felt fear,experienced guilt,experienced regret,2,B,"The following are multiple choice questions (with answers) about  human sexuality.

Morning sickness is typically a problem:
A. during the first trimester
B. during the second trimester
C. during the third trimester
D. all through the pregnancy
Answer: A

A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:
A. a strong ego
B. a weak superego
C. a weak id
D. a strong superego
Answer: B

Women's ability to have multiple orgasms is primarily due to:
A. the fact that they do not have a refractory period.
B. the response of the inner layers of the vagina.
C. having alternating orgasms in different locations.
D. the G-Spot.
Answer: A

The nature of homosexual activities that occur during preadolescence include all but which of the following?
A. sexual intercourse
B. circle jerks
C. exhibitionism
D. touching each other's genitals
Answer: A

The most common disorder among men who seek sexual therapy is:
A. premature ejaculation
B. inhibited ejaculation
C. erectile disorder
D. ejaculatory disorder
Answer: C

According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse.
A. felt glad
B. felt fear
C. experienced guilt
D. experienced regret
Answer: B"
6,What is cocaine abuse during pregnancy related to?,an increased risk of low birth weight babies,poorer growth and lower intelligence,smaller head circumference,all of the above,3,A,"The following are multiple choice questions (with answers) about  human sexuality.

Morning sickness is typically a problem:
A. during the first trimester
B. during the second trimester
C. during the third trimester
D. all through the pregnancy
Answer: A

A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:
A. a strong ego
B. a weak superego
C. a weak id
D. a strong superego
Answer: B

Women's ability to have multiple orgasms is primarily due to:
A. the fact that they do not have a refractory period.
B. the response of the inner layers of the vagina.
C. having alternating orgasms in different locations.
D. the G-Spot.
Answer: A

The nature of homosexual activities that occur during preadolescence include all but which of the following?
A. sexual intercourse
B. circle jerks
C. exhibitionism
D. touching each other's genitals
Answer: A

The most common disorder among men who seek sexual therapy is:
A. premature ejaculation
B. inhibited ejaculation
C. erectile disorder
D. ejaculatory disorder
Answer: C

What is cocaine abuse during pregnancy related to?
A. an increased risk of low birth weight babies
B. poorer growth and lower intelligence
C. smaller head circumference
D. all of the above
Answer: A"
7,Joe wants desperately to get close to Helen. Helen appears to be put off by Joe's desperate advances. This is typical of Joe's relationships with women. According to attachment theory Joe would best be described as:,a secure lover,an avoidant lover,an anxious-ambivalent lover,a passionate lover,2,C,"The following are multiple choice questions (with answers) about  human sexuality.

Morning sickness is typically a problem:
A. during the first trimester
B. during the second trimester
C. during the third trimester
D. all through the pregnancy
Answer: A

A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:
A. a strong ego
B. a weak superego
C. a weak id
D. a strong superego
Answer: B

Women's ability to have multiple orgasms is primarily due to:
A. the fact that they do not have a refractory period.
B. the response of the inner layers of the vagina.
C. having alternating orgasms in different locations.
D. the G-Spot.
Answer: A

The nature of homosexual activities that occur during preadolescence include all but which of the following?
A. sexual intercourse
B. circle jerks
C. exhibitionism
D. touching each other's genitals
Answer: A

The most common disorder among men who seek sexual therapy is:
A. premature ejaculation
B. inhibited ejaculation
C. erectile disorder
D. ejaculatory disorder
Answer: C

Joe wants desperately to get close to Helen. Helen appears to be put off by Joe's desperate advances. This is typical of Joe's relationships with women. According to attachment theory Joe would best be described as:
A. a secure lover
B. an avoidant lover
C. an anxious-ambivalent lover
D. a passionate lover
Answer: C"
8,Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?,Bruce likely participated in more female-typical play than Chuck.,Bruce likely participated in more male-typical play than Chuck.,Bruce and Chuck likely participated in more male-typical play than female-typical play.,Bruce's father was more likely to have homosexual tendencies than Chuck's father.,0,A,"The following are multiple choice questions (with answers) about  human sexuality.

Morning sickness is typically a problem:
A. during the first trimester
B. during the second trimester
C. during the third trimester
D. all through the pregnancy
Answer: A

A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:
A. a strong ego
B. a weak superego
C. a weak id
D. a strong superego
Answer: B

Women's ability to have multiple orgasms is primarily due to:
A. the fact that they do not have a refractory period.
B. the response of the inner layers of the vagina.
C. having alternating orgasms in different locations.
D. the G-Spot.
Answer: A

The nature of homosexual activities that occur during preadolescence include all but which of the following?
A. sexual intercourse
B. circle jerks
C. exhibitionism
D. touching each other's genitals
Answer: A

The most common disorder among men who seek sexual therapy is:
A. premature ejaculation
B. inhibited ejaculation
C. erectile disorder
D. ejaculatory disorder
Answer: C

Bruce is a homosexual man. His friend Chuck is a heterosexual man. If we could have observed Bruce and Chuck as children we might have expected which of the following?
A. Bruce likely participated in more female-typical play than Chuck.
B. Bruce likely participated in more male-typical play than Chuck.
C. Bruce and Chuck likely participated in more male-typical play than female-typical play.
D. Bruce's father was more likely to have homosexual tendencies than Chuck's father.
Answer: A"
9,Judaism regards sexuality as,inherently evil,God's afterthought and has become an aberration,a gift from God,primarily a biological function,2,C,"The following are multiple choice questions (with answers) about  human sexuality.

Morning sickness is typically a problem:
A. during the first trimester
B. during the second trimester
C. during the third trimester
D. all through the pregnancy
Answer: A

A woman who knows she has active herpes and untreated syphilis but continues to have sex without informing her partners of her condition has, in psychoanalytic terms:
A. a strong ego
B. a weak superego
C. a weak id
D. a strong superego
Answer: B

Women's ability to have multiple orgasms is primarily due to:
A. the fact that they do not have a refractory period.
B. the response of the inner layers of the vagina.
C. having alternating orgasms in different locations.
D. the G-Spot.
Answer: A

The nature of homosexual activities that occur during preadolescence include all but which of the following?
A. sexual intercourse
B. circle jerks
C. exhibitionism
D. touching each other's genitals
Answer: A

The most common disorder among men who seek sexual therapy is:
A. premature ejaculation
B. inhibited ejaculation
C. erectile disorder
D. ejaculatory disorder
Answer: C

Judaism regards sexuality as
A. inherently evil
B. God's afterthought and has become an aberration
C. a gift from God
D. primarily a biological function
Answer: C"
