,question,choice0,choice1,choice2,choice3,answer,prediction,completion
0,"Unlike most other early civilizations, Minoan culture shows little evidence of:",trade.,warfare.,the development of a common religion.,conspicuous consumption by elites.,3,A,"The following are multiple choice questions (with answers) about  prehistory.

The great Mayan king Pacal built temples in the city of Palenque in order to:
A. satisfy the powerful Mayan astronomer priests.
B. display his generosity to the common people, since they were allowed to live in the temples.
C. frighten away enemies, in particular the Spaniards.
D. legitimize his kingship, since his father was not royal.
Answer: D

According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:
A. a center of Mississippian civilization with conditions similar to the rise of early states.
B. the limitations of authority in a Native American society of egalitarian foragers.
C. a simple chiefdom or perhaps a complex chiefdom had evolved by A.D. 1500.
D. a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.
Answer: A

Researchers now believe that the decline of the Maya was caused chiefly by:
A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.
B. ecological degradation resulting from slash-and-burn farming techniques.
C. endless wars between neighboring Mayan city-states.
D. practices of interbreeding that led to a steep rise in congenital disorders.
Answer: B

Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):
A. a great amount of species diversity, or a single species that exhibited a lot of diversity.
B. very little species diversity during this period and very few hominids.
C. decreased species diversity due to a prolonged ice age followed by a severe drought.
D. decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.
Answer: A

What is the approximate mean cranial capacity of Homo erectus?
A. under 650 cc
B. about 800 cc
C. just under 1000 cc
D. 1200 cc
Answer: C

Unlike most other early civilizations, Minoan culture shows little evidence of:
A. trade.
B. warfare.
C. the development of a common religion.
D. conspicuous consumption by elites.
Answer: A"
1,The greatest Egyptian pyramids at Giza were built:,"as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure.","by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament.",in the construction frenzy of the 6th dynasty.,all of the above.,0,A,"The following are multiple choice questions (with answers) about  prehistory.

The great Mayan king Pacal built temples in the city of Palenque in order to:
A. satisfy the powerful Mayan astronomer priests.
B. display his generosity to the common people, since they were allowed to live in the temples.
C. frighten away enemies, in particular the Spaniards.
D. legitimize his kingship, since his father was not royal.
Answer: D

According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:
A. a center of Mississippian civilization with conditions similar to the rise of early states.
B. the limitations of authority in a Native American society of egalitarian foragers.
C. a simple chiefdom or perhaps a complex chiefdom had evolved by A.D. 1500.
D. a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.
Answer: A

Researchers now believe that the decline of the Maya was caused chiefly by:
A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.
B. ecological degradation resulting from slash-and-burn farming techniques.
C. endless wars between neighboring Mayan city-states.
D. practices of interbreeding that led to a steep rise in congenital disorders.
Answer: B

Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):
A. a great amount of species diversity, or a single species that exhibited a lot of diversity.
B. very little species diversity during this period and very few hominids.
C. decreased species diversity due to a prolonged ice age followed by a severe drought.
D. decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.
Answer: A

What is the approximate mean cranial capacity of Homo erectus?
A. under 650 cc
B. about 800 cc
C. just under 1000 cc
D. 1200 cc
Answer: C

The greatest Egyptian pyramids at Giza were built:
A. as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure.
B. by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament.
C. in the construction frenzy of the 6th dynasty.
D. all of the above.
Answer: A"
2,"When anatomically modern humans first arrived in the Middle East, who did they encounter?","Neandertals, the evolutionary descendants of the premodern human inhabitants of Europe and Asia","Homo erectus, the evolutionary descendants of the premodern human inhabitants of Europe and Asia","Homo sapiens, who had evolved independently in Asia and arrived there by 200,000 years ago",All of the above,0,D,"The following are multiple choice questions (with answers) about  prehistory.

The great Mayan king Pacal built temples in the city of Palenque in order to:
A. satisfy the powerful Mayan astronomer priests.
B. display his generosity to the common people, since they were allowed to live in the temples.
C. frighten away enemies, in particular the Spaniards.
D. legitimize his kingship, since his father was not royal.
Answer: D

According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:
A. a center of Mississippian civilization with conditions similar to the rise of early states.
B. the limitations of authority in a Native American society of egalitarian foragers.
C. a simple chiefdom or perhaps a complex chiefdom had evolved by A.D. 1500.
D. a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.
Answer: A

Researchers now believe that the decline of the Maya was caused chiefly by:
A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.
B. ecological degradation resulting from slash-and-burn farming techniques.
C. endless wars between neighboring Mayan city-states.
D. practices of interbreeding that led to a steep rise in congenital disorders.
Answer: B

Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):
A. a great amount of species diversity, or a single species that exhibited a lot of diversity.
B. very little species diversity during this period and very few hominids.
C. decreased species diversity due to a prolonged ice age followed by a severe drought.
D. decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.
Answer: A

What is the approximate mean cranial capacity of Homo erectus?
A. under 650 cc
B. about 800 cc
C. just under 1000 cc
D. 1200 cc
Answer: C

When anatomically modern humans first arrived in the Middle East, who did they encounter?
A. Neandertals, the evolutionary descendants of the premodern human inhabitants of Europe and Asia
B. Homo erectus, the evolutionary descendants of the premodern human inhabitants of Europe and Asia
C. Homo sapiens, who had evolved independently in Asia and arrived there by 200,000 years ago
D. All of the above
Answer: D"
3,The “Lion Man” from Hohlenstein-Stadel cave is an example of:,mobiliary art.,long-distance trade of exotic raw materials.,parietal art.,a Venus figurine.,0,C,"The following are multiple choice questions (with answers) about  prehistory.

The great Mayan king Pacal built temples in the city of Palenque in order to:
A. satisfy the powerful Mayan astronomer priests.
B. display his generosity to the common people, since they were allowed to live in the temples.
C. frighten away enemies, in particular the Spaniards.
D. legitimize his kingship, since his father was not royal.
Answer: D

According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:
A. a center of Mississippian civilization with conditions similar to the rise of early states.
B. the limitations of authority in a Native American society of egalitarian foragers.
C. a simple chiefdom or perhaps a complex chiefdom had evolved by A.D. 1500.
D. a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.
Answer: A

Researchers now believe that the decline of the Maya was caused chiefly by:
A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.
B. ecological degradation resulting from slash-and-burn farming techniques.
C. endless wars between neighboring Mayan city-states.
D. practices of interbreeding that led to a steep rise in congenital disorders.
Answer: B

Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):
A. a great amount of species diversity, or a single species that exhibited a lot of diversity.
B. very little species diversity during this period and very few hominids.
C. decreased species diversity due to a prolonged ice age followed by a severe drought.
D. decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.
Answer: A

What is the approximate mean cranial capacity of Homo erectus?
A. under 650 cc
B. about 800 cc
C. just under 1000 cc
D. 1200 cc
Answer: C

The “Lion Man” from Hohlenstein-Stadel cave is an example of:
A. mobiliary art.
B. long-distance trade of exotic raw materials.
C. parietal art.
D. a Venus figurine.
Answer: C"
4,"At its peak, the palace at Knossos is thought to have had over _________ rooms.",100,500,"1,000","5,000",2,C,"The following are multiple choice questions (with answers) about  prehistory.

The great Mayan king Pacal built temples in the city of Palenque in order to:
A. satisfy the powerful Mayan astronomer priests.
B. display his generosity to the common people, since they were allowed to live in the temples.
C. frighten away enemies, in particular the Spaniards.
D. legitimize his kingship, since his father was not royal.
Answer: D

According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:
A. a center of Mississippian civilization with conditions similar to the rise of early states.
B. the limitations of authority in a Native American society of egalitarian foragers.
C. a simple chiefdom or perhaps a complex chiefdom had evolved by A.D. 1500.
D. a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.
Answer: A

Researchers now believe that the decline of the Maya was caused chiefly by:
A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.
B. ecological degradation resulting from slash-and-burn farming techniques.
C. endless wars between neighboring Mayan city-states.
D. practices of interbreeding that led to a steep rise in congenital disorders.
Answer: B

Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):
A. a great amount of species diversity, or a single species that exhibited a lot of diversity.
B. very little species diversity during this period and very few hominids.
C. decreased species diversity due to a prolonged ice age followed by a severe drought.
D. decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.
Answer: A

What is the approximate mean cranial capacity of Homo erectus?
A. under 650 cc
B. about 800 cc
C. just under 1000 cc
D. 1200 cc
Answer: C

At its peak, the palace at Knossos is thought to have had over _________ rooms.
A. 100
B. 500
C. 1,000
D. 5,000
Answer: C"
5,"The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT:",formal government,monumental earthworks,urban centers,a permanent military,1,A,"The following are multiple choice questions (with answers) about  prehistory.

The great Mayan king Pacal built temples in the city of Palenque in order to:
A. satisfy the powerful Mayan astronomer priests.
B. display his generosity to the common people, since they were allowed to live in the temples.
C. frighten away enemies, in particular the Spaniards.
D. legitimize his kingship, since his father was not royal.
Answer: D

According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:
A. a center of Mississippian civilization with conditions similar to the rise of early states.
B. the limitations of authority in a Native American society of egalitarian foragers.
C. a simple chiefdom or perhaps a complex chiefdom had evolved by A.D. 1500.
D. a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.
Answer: A

Researchers now believe that the decline of the Maya was caused chiefly by:
A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.
B. ecological degradation resulting from slash-and-burn farming techniques.
C. endless wars between neighboring Mayan city-states.
D. practices of interbreeding that led to a steep rise in congenital disorders.
Answer: B

Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):
A. a great amount of species diversity, or a single species that exhibited a lot of diversity.
B. very little species diversity during this period and very few hominids.
C. decreased species diversity due to a prolonged ice age followed by a severe drought.
D. decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.
Answer: A

What is the approximate mean cranial capacity of Homo erectus?
A. under 650 cc
B. about 800 cc
C. just under 1000 cc
D. 1200 cc
Answer: C

The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT:
A. formal government
B. monumental earthworks
C. urban centers
D. a permanent military
Answer: A"
6,Markings found on the mud-bricks of Huaca del Sol are probably:,instructions for the builders written there by the engineers.,random scratches and not a meaningful script or written language.,intended to identify the local group that had produced them.,simple arithmetic performed by carpenters on the building site.,2,B,"The following are multiple choice questions (with answers) about  prehistory.

The great Mayan king Pacal built temples in the city of Palenque in order to:
A. satisfy the powerful Mayan astronomer priests.
B. display his generosity to the common people, since they were allowed to live in the temples.
C. frighten away enemies, in particular the Spaniards.
D. legitimize his kingship, since his father was not royal.
Answer: D

According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:
A. a center of Mississippian civilization with conditions similar to the rise of early states.
B. the limitations of authority in a Native American society of egalitarian foragers.
C. a simple chiefdom or perhaps a complex chiefdom had evolved by A.D. 1500.
D. a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.
Answer: A

Researchers now believe that the decline of the Maya was caused chiefly by:
A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.
B. ecological degradation resulting from slash-and-burn farming techniques.
C. endless wars between neighboring Mayan city-states.
D. practices of interbreeding that led to a steep rise in congenital disorders.
Answer: B

Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):
A. a great amount of species diversity, or a single species that exhibited a lot of diversity.
B. very little species diversity during this period and very few hominids.
C. decreased species diversity due to a prolonged ice age followed by a severe drought.
D. decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.
Answer: A

What is the approximate mean cranial capacity of Homo erectus?
A. under 650 cc
B. about 800 cc
C. just under 1000 cc
D. 1200 cc
Answer: C

Markings found on the mud-bricks of Huaca del Sol are probably:
A. instructions for the builders written there by the engineers.
B. random scratches and not a meaningful script or written language.
C. intended to identify the local group that had produced them.
D. simple arithmetic performed by carpenters on the building site.
Answer: B"
7,The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________.,"legumes, sarsens","lintels, stelae","sarsens, lintels","trilithon, tholoi",2,B,"The following are multiple choice questions (with answers) about  prehistory.

The great Mayan king Pacal built temples in the city of Palenque in order to:
A. satisfy the powerful Mayan astronomer priests.
B. display his generosity to the common people, since they were allowed to live in the temples.
C. frighten away enemies, in particular the Spaniards.
D. legitimize his kingship, since his father was not royal.
Answer: D

According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:
A. a center of Mississippian civilization with conditions similar to the rise of early states.
B. the limitations of authority in a Native American society of egalitarian foragers.
C. a simple chiefdom or perhaps a complex chiefdom had evolved by A.D. 1500.
D. a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.
Answer: A

Researchers now believe that the decline of the Maya was caused chiefly by:
A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.
B. ecological degradation resulting from slash-and-burn farming techniques.
C. endless wars between neighboring Mayan city-states.
D. practices of interbreeding that led to a steep rise in congenital disorders.
Answer: B

Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):
A. a great amount of species diversity, or a single species that exhibited a lot of diversity.
B. very little species diversity during this period and very few hominids.
C. decreased species diversity due to a prolonged ice age followed by a severe drought.
D. decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.
Answer: A

What is the approximate mean cranial capacity of Homo erectus?
A. under 650 cc
B. about 800 cc
C. just under 1000 cc
D. 1200 cc
Answer: C

The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________.
A. legumes, sarsens
B. lintels, stelae
C. sarsens, lintels
D. trilithon, tholoi
Answer: B"
8,"The secondarily altricial condition of modern human babies may have been an evolutionary solution, in that:","the brain size of hominids had not grown for more than a million years, making it difficult for babies to walk.",it allowed for bipedalism and independence from the mother at an earlier age.,"it allowed for subsequent growth of the brain, since bipedalism had resulted in a narrowed birth canal in the female pelvis.","it allowed for growth of the brain to nearly adult size prior to birth, since bipedalism had resulted in a wider birth canal in the female pelvis.",2,B,"The following are multiple choice questions (with answers) about  prehistory.

The great Mayan king Pacal built temples in the city of Palenque in order to:
A. satisfy the powerful Mayan astronomer priests.
B. display his generosity to the common people, since they were allowed to live in the temples.
C. frighten away enemies, in particular the Spaniards.
D. legitimize his kingship, since his father was not royal.
Answer: D

According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:
A. a center of Mississippian civilization with conditions similar to the rise of early states.
B. the limitations of authority in a Native American society of egalitarian foragers.
C. a simple chiefdom or perhaps a complex chiefdom had evolved by A.D. 1500.
D. a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.
Answer: A

Researchers now believe that the decline of the Maya was caused chiefly by:
A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.
B. ecological degradation resulting from slash-and-burn farming techniques.
C. endless wars between neighboring Mayan city-states.
D. practices of interbreeding that led to a steep rise in congenital disorders.
Answer: B

Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):
A. a great amount of species diversity, or a single species that exhibited a lot of diversity.
B. very little species diversity during this period and very few hominids.
C. decreased species diversity due to a prolonged ice age followed by a severe drought.
D. decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.
Answer: A

What is the approximate mean cranial capacity of Homo erectus?
A. under 650 cc
B. about 800 cc
C. just under 1000 cc
D. 1200 cc
Answer: C

The secondarily altricial condition of modern human babies may have been an evolutionary solution, in that:
A. the brain size of hominids had not grown for more than a million years, making it difficult for babies to walk.
B. it allowed for bipedalism and independence from the mother at an earlier age.
C. it allowed for subsequent growth of the brain, since bipedalism had resulted in a narrowed birth canal in the female pelvis.
D. it allowed for growth of the brain to nearly adult size prior to birth, since bipedalism had resulted in a wider birth canal in the female pelvis.
Answer: B"
9,Research on C3 and C4 pathways indicates that changes in plant communities were associated with a transition in the diets of ancient hominids from:,species focused on grasses to nuts and fruits.,meat to fruits and vegetables.,fruits and vegetables to fish.,nuts and fruits to species more focused on grasses.,3,A,"The following are multiple choice questions (with answers) about  prehistory.

The great Mayan king Pacal built temples in the city of Palenque in order to:
A. satisfy the powerful Mayan astronomer priests.
B. display his generosity to the common people, since they were allowed to live in the temples.
C. frighten away enemies, in particular the Spaniards.
D. legitimize his kingship, since his father was not royal.
Answer: D

According to Timothy Pauketat, the evidence for social stratification and political power at Cahokia suggests:
A. a center of Mississippian civilization with conditions similar to the rise of early states.
B. the limitations of authority in a Native American society of egalitarian foragers.
C. a simple chiefdom or perhaps a complex chiefdom had evolved by A.D. 1500.
D. a center of Mississippian civilization with conditions similar to societies on the Northwest Coast of North America.
Answer: A

Researchers now believe that the decline of the Maya was caused chiefly by:
A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.
B. ecological degradation resulting from slash-and-burn farming techniques.
C. endless wars between neighboring Mayan city-states.
D. practices of interbreeding that led to a steep rise in congenital disorders.
Answer: B

Recent research on hominid species dating from the Middle Pliocene indicates there was (as of 2020):
A. a great amount of species diversity, or a single species that exhibited a lot of diversity.
B. very little species diversity during this period and very few hominids.
C. decreased species diversity due to a prolonged ice age followed by a severe drought.
D. decreased species diversity but increased numbers of hammerstones and flakes, indicating stone tool manufacture.
Answer: A

What is the approximate mean cranial capacity of Homo erectus?
A. under 650 cc
B. about 800 cc
C. just under 1000 cc
D. 1200 cc
Answer: C

Research on C3 and C4 pathways indicates that changes in plant communities were associated with a transition in the diets of ancient hominids from:
A. species focused on grasses to nuts and fruits.
B. meat to fruits and vegetables.
C. fruits and vegetables to fish.
D. nuts and fruits to species more focused on grasses.
Answer: A"
