,question,choice0,choice1,choice2,choice3,answer,prediction,completion
0,How many human polyomaviruses are known at present?,100,1,10,unknown,0,B,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

How many human polyomaviruses are known at present?
A. 100
B. 1
C. 10
D. unknown
Answer: B"
1,AIDS activism in the U.S. resulted in:,Food and Drug Administration reforms,Easier access to investigational drugs,Changes in the way medicine was practiced in the U.S.,All of the above,3,D,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

AIDS activism in the U.S. resulted in:
A. Food and Drug Administration reforms
B. Easier access to investigational drugs
C. Changes in the way medicine was practiced in the U.S.
D. All of the above
Answer: D"
2,"Globally, the most deaths are caused by:",Respiratory infections,Diarrheal diseases,Malaria,Tuberculosis,1,B,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

Globally, the most deaths are caused by:
A. Respiratory infections
B. Diarrheal diseases
C. Malaria
D. Tuberculosis
Answer: B"
3,What happens during the 'incubation period'?,The virus is cleared from the body by the immune system,Virus replication happens at an intracellular level,This period commonly lasts for a few days,This period commonly lasts for a few hours,1,C,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

What happens during the 'incubation period'?
A. The virus is cleared from the body by the immune system
B. Virus replication happens at an intracellular level
C. This period commonly lasts for a few days
D. This period commonly lasts for a few hours
Answer: C"
4,Newborn infants in countries with limited access to safe water and low levels of education should be:,Exclusively formula fed for six months,Exclusively breast fed for six months,Should receive both breast milk and other foods as tolerated in the first 6,months,1,B,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

Newborn infants in countries with limited access to safe water and low levels of education should be:
A. Exclusively formula fed for six months
B. Exclusively breast fed for six months
C. Should receive both breast milk and other foods as tolerated in the first 6
D. months
Answer: B"
5,Achieving effective change in a community is usually dependent on which of the following segments of society?,Innovators,Early adapters,Middle adapters,Late adapters,0,A,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

Achieving effective change in a community is usually dependent on which of the following segments of society?
A. Innovators
B. Early adapters
C. Middle adapters
D. Late adapters
Answer: A"
6,“Contingency management” is”:,A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,1,D,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

“Contingency management” is”:
A. A strategy of last resort for reducing high-risk behaviors
B. Paying drug users for negative urine specimens
C. Paying sex workers to use condoms
D. Paying drug users to use condoms
Answer: D"
7,Typical clinical symptoms following infection with astroviruses include which of the following?,Acute pneumonia,Gastroenteritis in children,Hepatitis,rashes,1,B,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

Typical clinical symptoms following infection with astroviruses include which of the following?
A. Acute pneumonia
B. Gastroenteritis in children
C. Hepatitis
D. rashes
Answer: B"
8,Which of the following is the most special characteristic of the adaptive immune system?,Antibodies,T cells,Memory T cells,Clonal expansion of pre-existing antibodies and/or T cells,3,B,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

Which of the following is the most special characteristic of the adaptive immune system?
A. Antibodies
B. T cells
C. Memory T cells
D. Clonal expansion of pre-existing antibodies and/or T cells
Answer: B"
9,Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,Interferon and ribavirin,Lamivudine and ribavirin,Combinations of adefovir and entecavir and/or tenofovir (DAA),Interferons alone,1,C,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?
A. Interferon and ribavirin
B. Lamivudine and ribavirin
C. Combinations of adefovir and entecavir and/or tenofovir (DAA)
D. Interferons alone
Answer: C"
10,"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",Incidence,Lifetime expectancy,Lifetime prevalence,Period prevalence,2,C,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?
A. Incidence
B. Lifetime expectancy
C. Lifetime prevalence
D. Period prevalence
Answer: C"
11,How were retroviruses discovered?,In chickens as Rous sarcoma,In humans as HTLV-1,In mice causing leukaemia,In cats causing leukaemia,2,A,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

How were retroviruses discovered?
A. In chickens as Rous sarcoma
B. In humans as HTLV-1
C. In mice causing leukaemia
D. In cats causing leukaemia
Answer: A"
12,Most surveillance systems use which of the following study designs?,Cohort,Serial cross-sectional,Mortality,Syndromic,1,A,"The following are multiple choice questions (with answers) about  virology.

Why are parvoviruses a highly impactful parasite?
A. Because they have no nucleic acid
B. They require a helper virus
C. Only replicate in dividing cells
D. Can integrate into host chromosomes
Answer: A

Which of the following is a morphological characteristic of the paramyxoviruses.
A. Fragile viruses often visualised with RNA spewing from the inside
B. Elongate viruses
C. Icosahedral viruses with envelope
D. Very large viruses
Answer: A

A key factor facilitating the application of nested case-control studies from the MACS was:
A. Data collection
B. Establishment of a repository of biologic specimens
C. Participant interest
D. Administration of the questionnaire by staff
Answer: B

The most important goal of a behavioral intervention is:
A. Change in behavior
B. Comprehensive coverage
C. Effective use of behavioral theory
D. Sustained behavior change
Answer: D

The median survival time to AIDS and death was established by following:
A. Seroprevalent HIV-infected individuals
B. Seronegatives
C. Seroconverters
D. High-risk seronegatives
Answer: C

Most surveillance systems use which of the following study designs?
A. Cohort
B. Serial cross-sectional
C. Mortality
D. Syndromic
Answer: A"
