,question,choice0,choice1,choice2,choice3,answer,prediction,completion
0,"The rate, r, of a zero-order chemical reaction A → B can be expressed as which of the following?",r = k ln[A],r = k [A]^2,r = k [A],r = k,3,A,"The following are multiple choice questions (with answers) about  college chemistry.

Which of the following statements about the lanthanide elements is NOT true?
A. The most common oxidation state for the lanthanide elements is +3.
B. Lanthanide complexes often have high coordination numbers (> 6).
C. All of the lanthanide elements react with aqueous acid to liberate hydrogen.
D. The atomic radii of the lanthanide elements increase across the period from La to Lu.
Answer: D

A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?
A. 1.0 mL
B. 10 mL
C. 20 mL
D. 50 mL
Answer: C

Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.
A. 4
B. 3
C. 6
D. 24
Answer: A

3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as
A. an acid
B. a base
C. a catalyst
D. a reducing agent
Answer: D

Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?
A. PbH4 < SnH4 < GeH4 < SiH4 < CH4
B. PbH4 < SnH4 < CH4 < GeH4 < SiH4
C. CH4 < SiH4 < GeH4 < SnH4 < PbH4
D. CH4 < PbH4 < GeH4 < SnH4 < SiH4
Answer: A

The rate, r, of a zero-order chemical reaction A → B can be expressed as which of the following?
A. r = k ln[A]
B. r = k [A]^2
C. r = k [A]
D. r = k
Answer: A"
1,Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules because,all molecular bonds absorb IR radiation,IR peak intensities are related to molecular mass,most organic functional groups absorb in a characteristic region of the IR spectrum,each element absorbs at a characteristic wavelength,2,C,"The following are multiple choice questions (with answers) about  college chemistry.

Which of the following statements about the lanthanide elements is NOT true?
A. The most common oxidation state for the lanthanide elements is +3.
B. Lanthanide complexes often have high coordination numbers (> 6).
C. All of the lanthanide elements react with aqueous acid to liberate hydrogen.
D. The atomic radii of the lanthanide elements increase across the period from La to Lu.
Answer: D

A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?
A. 1.0 mL
B. 10 mL
C. 20 mL
D. 50 mL
Answer: C

Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.
A. 4
B. 3
C. 6
D. 24
Answer: A

3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as
A. an acid
B. a base
C. a catalyst
D. a reducing agent
Answer: D

Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?
A. PbH4 < SnH4 < GeH4 < SiH4 < CH4
B. PbH4 < SnH4 < CH4 < GeH4 < SiH4
C. CH4 < SiH4 < GeH4 < SnH4 < PbH4
D. CH4 < PbH4 < GeH4 < SnH4 < SiH4
Answer: A

Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules because
A. all molecular bonds absorb IR radiation
B. IR peak intensities are related to molecular mass
C. most organic functional groups absorb in a characteristic region of the IR spectrum
D. each element absorbs at a characteristic wavelength
Answer: C"
2,What is the maximum number of phases that can be at equilibrium with each other in a three component mixture?,2,3,4,5,3,B,"The following are multiple choice questions (with answers) about  college chemistry.

Which of the following statements about the lanthanide elements is NOT true?
A. The most common oxidation state for the lanthanide elements is +3.
B. Lanthanide complexes often have high coordination numbers (> 6).
C. All of the lanthanide elements react with aqueous acid to liberate hydrogen.
D. The atomic radii of the lanthanide elements increase across the period from La to Lu.
Answer: D

A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?
A. 1.0 mL
B. 10 mL
C. 20 mL
D. 50 mL
Answer: C

Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.
A. 4
B. 3
C. 6
D. 24
Answer: A

3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as
A. an acid
B. a base
C. a catalyst
D. a reducing agent
Answer: D

Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?
A. PbH4 < SnH4 < GeH4 < SiH4 < CH4
B. PbH4 < SnH4 < CH4 < GeH4 < SiH4
C. CH4 < SiH4 < GeH4 < SnH4 < PbH4
D. CH4 < PbH4 < GeH4 < SnH4 < SiH4
Answer: A

What is the maximum number of phases that can be at equilibrium with each other in a three component mixture?
A. 2
B. 3
C. 4
D. 5
Answer: B"
3,"When the following equation is balanced, which of the following is true?
__ MnO4− + __ I− + __ H+ <-> __ Mn2+ + __ IO3− + __ H2O",The I− : IO3− ratio is 3:1.,The MnO4- : I- ratio is 6:5.,The MnO4- : Mn2+ ratio is 3:1.,The H+ : I− ratio is 2:1.,1,B,"The following are multiple choice questions (with answers) about  college chemistry.

Which of the following statements about the lanthanide elements is NOT true?
A. The most common oxidation state for the lanthanide elements is +3.
B. Lanthanide complexes often have high coordination numbers (> 6).
C. All of the lanthanide elements react with aqueous acid to liberate hydrogen.
D. The atomic radii of the lanthanide elements increase across the period from La to Lu.
Answer: D

A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?
A. 1.0 mL
B. 10 mL
C. 20 mL
D. 50 mL
Answer: C

Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.
A. 4
B. 3
C. 6
D. 24
Answer: A

3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as
A. an acid
B. a base
C. a catalyst
D. a reducing agent
Answer: D

Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?
A. PbH4 < SnH4 < GeH4 < SiH4 < CH4
B. PbH4 < SnH4 < CH4 < GeH4 < SiH4
C. CH4 < SiH4 < GeH4 < SnH4 < PbH4
D. CH4 < PbH4 < GeH4 < SnH4 < SiH4
Answer: A

When the following equation is balanced, which of the following is true?
__ MnO4− + __ I− + __ H+ <-> __ Mn2+ + __ IO3− + __ H2O
A. The I− : IO3− ratio is 3:1.
B. The MnO4- : I- ratio is 6:5.
C. The MnO4- : Mn2+ ratio is 3:1.
D. The H+ : I− ratio is 2:1.
Answer: B"
4,The equation ΔH = ΔU + PΔV is applicable,always,only for constant pressure processes,only for constant temperature processes,only for constant volume processes,1,B,"The following are multiple choice questions (with answers) about  college chemistry.

Which of the following statements about the lanthanide elements is NOT true?
A. The most common oxidation state for the lanthanide elements is +3.
B. Lanthanide complexes often have high coordination numbers (> 6).
C. All of the lanthanide elements react with aqueous acid to liberate hydrogen.
D. The atomic radii of the lanthanide elements increase across the period from La to Lu.
Answer: D

A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?
A. 1.0 mL
B. 10 mL
C. 20 mL
D. 50 mL
Answer: C

Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.
A. 4
B. 3
C. 6
D. 24
Answer: A

3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as
A. an acid
B. a base
C. a catalyst
D. a reducing agent
Answer: D

Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?
A. PbH4 < SnH4 < GeH4 < SiH4 < CH4
B. PbH4 < SnH4 < CH4 < GeH4 < SiH4
C. CH4 < SiH4 < GeH4 < SnH4 < PbH4
D. CH4 < PbH4 < GeH4 < SnH4 < SiH4
Answer: A

The equation ΔH = ΔU + PΔV is applicable
A. always
B. only for constant pressure processes
C. only for constant temperature processes
D. only for constant volume processes
Answer: B"
5,Nitronyl nitroxides are stable radicals in which the unpaired electron is coupled to two equivalent nitrogen nuclei. How many lines will appear in the EPR spectrum of a solution of a rigid nitronyl nitroxide diradical with J << a?,3 lines,9 lines,5 lines,7 lines,1,B,"The following are multiple choice questions (with answers) about  college chemistry.

Which of the following statements about the lanthanide elements is NOT true?
A. The most common oxidation state for the lanthanide elements is +3.
B. Lanthanide complexes often have high coordination numbers (> 6).
C. All of the lanthanide elements react with aqueous acid to liberate hydrogen.
D. The atomic radii of the lanthanide elements increase across the period from La to Lu.
Answer: D

A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?
A. 1.0 mL
B. 10 mL
C. 20 mL
D. 50 mL
Answer: C

Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.
A. 4
B. 3
C. 6
D. 24
Answer: A

3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as
A. an acid
B. a base
C. a catalyst
D. a reducing agent
Answer: D

Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?
A. PbH4 < SnH4 < GeH4 < SiH4 < CH4
B. PbH4 < SnH4 < CH4 < GeH4 < SiH4
C. CH4 < SiH4 < GeH4 < SnH4 < PbH4
D. CH4 < PbH4 < GeH4 < SnH4 < SiH4
Answer: A

Nitronyl nitroxides are stable radicals in which the unpaired electron is coupled to two equivalent nitrogen nuclei. How many lines will appear in the EPR spectrum of a solution of a rigid nitronyl nitroxide diradical with J << a?
A. 3 lines
B. 9 lines
C. 5 lines
D. 7 lines
Answer: B"
6,Cobalt-60 is used in the radiation therapy of cancer and can be produced by bombardment of cobalt-59 with which of the following?,Neutrons,Alpha particles,Beta particles,X-rays,0,A,"The following are multiple choice questions (with answers) about  college chemistry.

Which of the following statements about the lanthanide elements is NOT true?
A. The most common oxidation state for the lanthanide elements is +3.
B. Lanthanide complexes often have high coordination numbers (> 6).
C. All of the lanthanide elements react with aqueous acid to liberate hydrogen.
D. The atomic radii of the lanthanide elements increase across the period from La to Lu.
Answer: D

A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?
A. 1.0 mL
B. 10 mL
C. 20 mL
D. 50 mL
Answer: C

Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.
A. 4
B. 3
C. 6
D. 24
Answer: A

3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as
A. an acid
B. a base
C. a catalyst
D. a reducing agent
Answer: D

Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?
A. PbH4 < SnH4 < GeH4 < SiH4 < CH4
B. PbH4 < SnH4 < CH4 < GeH4 < SiH4
C. CH4 < SiH4 < GeH4 < SnH4 < PbH4
D. CH4 < PbH4 < GeH4 < SnH4 < SiH4
Answer: A

Cobalt-60 is used in the radiation therapy of cancer and can be produced by bombardment of cobalt-59 with which of the following?
A. Neutrons
B. Alpha particles
C. Beta particles
D. X-rays
Answer: A"
7,Which of the following is required for both paramagnetism and ferromagnetism?,Strong oxidizing conditions,Low-spin electron configuration,Metallic physical properties,Unpaired electrons,3,D,"The following are multiple choice questions (with answers) about  college chemistry.

Which of the following statements about the lanthanide elements is NOT true?
A. The most common oxidation state for the lanthanide elements is +3.
B. Lanthanide complexes often have high coordination numbers (> 6).
C. All of the lanthanide elements react with aqueous acid to liberate hydrogen.
D. The atomic radii of the lanthanide elements increase across the period from La to Lu.
Answer: D

A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?
A. 1.0 mL
B. 10 mL
C. 20 mL
D. 50 mL
Answer: C

Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.
A. 4
B. 3
C. 6
D. 24
Answer: A

3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as
A. an acid
B. a base
C. a catalyst
D. a reducing agent
Answer: D

Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?
A. PbH4 < SnH4 < GeH4 < SiH4 < CH4
B. PbH4 < SnH4 < CH4 < GeH4 < SiH4
C. CH4 < SiH4 < GeH4 < SnH4 < PbH4
D. CH4 < PbH4 < GeH4 < SnH4 < SiH4
Answer: A

Which of the following is required for both paramagnetism and ferromagnetism?
A. Strong oxidizing conditions
B. Low-spin electron configuration
C. Metallic physical properties
D. Unpaired electrons
Answer: D"
8,"The 1H spectrum of a mixture of dimethylsulphoxide (DMSO) and acetonitrile (AN) contains lines with relative intensities α and 3α, respectively. What is the ratio of the two concentrations, [DMSO]:[AN]?",1:1,1:3,1:6,2:3,2,B,"The following are multiple choice questions (with answers) about  college chemistry.

Which of the following statements about the lanthanide elements is NOT true?
A. The most common oxidation state for the lanthanide elements is +3.
B. Lanthanide complexes often have high coordination numbers (> 6).
C. All of the lanthanide elements react with aqueous acid to liberate hydrogen.
D. The atomic radii of the lanthanide elements increase across the period from La to Lu.
Answer: D

A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?
A. 1.0 mL
B. 10 mL
C. 20 mL
D. 50 mL
Answer: C

Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.
A. 4
B. 3
C. 6
D. 24
Answer: A

3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as
A. an acid
B. a base
C. a catalyst
D. a reducing agent
Answer: D

Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?
A. PbH4 < SnH4 < GeH4 < SiH4 < CH4
B. PbH4 < SnH4 < CH4 < GeH4 < SiH4
C. CH4 < SiH4 < GeH4 < SnH4 < PbH4
D. CH4 < PbH4 < GeH4 < SnH4 < SiH4
Answer: A

The 1H spectrum of a mixture of dimethylsulphoxide (DMSO) and acetonitrile (AN) contains lines with relative intensities α and 3α, respectively. What is the ratio of the two concentrations, [DMSO]:[AN]?
A. 1:1
B. 1:3
C. 1:6
D. 2:3
Answer: B"
9,Which of the following statements most accurately explains why the T1 of a nucleus is sometimes longer than its T2?,"T1, unlike T2, is sensitive to very low-frequency molecular motions.","T2, unlike T1, is sensitive to very low-frequency molecular motions.","T1, unlike T2, is sensitive to molecular motions at the Larmor frequency.","T2, unlike T1, is sensitive to molecular motions at the Larmor frequency.",3,C,"The following are multiple choice questions (with answers) about  college chemistry.

Which of the following statements about the lanthanide elements is NOT true?
A. The most common oxidation state for the lanthanide elements is +3.
B. Lanthanide complexes often have high coordination numbers (> 6).
C. All of the lanthanide elements react with aqueous acid to liberate hydrogen.
D. The atomic radii of the lanthanide elements increase across the period from La to Lu.
Answer: D

A 0.217 g sample of HgO (molar mass = 217 g) reacts with excess iodide ions according to the reaction shown above. Titration of the resulting solution requires how many mL of 0.10 M HCl to reach equivalence point?
A. 1.0 mL
B. 10 mL
C. 20 mL
D. 50 mL
Answer: C

Predict the number of lines in the EPR spectrum of a solution of 13C-labelled methyl radical (13CH3•), assuming the lines do not overlap.
A. 4
B. 3
C. 6
D. 24
Answer: A

3 Cl−(aq) + 4 CrO_4^2−(aq) + 23 H+(aq) → 3 HClO2(aq) + 4 Cr3+(aq) + 10 H2O(l). In the reaction shown above, Cl−(aq) behaves as
A. an acid
B. a base
C. a catalyst
D. a reducing agent
Answer: D

Which of the following lists the hydrides of group-14 elements in order of thermal stability, from lowest to highest?
A. PbH4 < SnH4 < GeH4 < SiH4 < CH4
B. PbH4 < SnH4 < CH4 < GeH4 < SiH4
C. CH4 < SiH4 < GeH4 < SnH4 < PbH4
D. CH4 < PbH4 < GeH4 < SnH4 < SiH4
Answer: A

Which of the following statements most accurately explains why the T1 of a nucleus is sometimes longer than its T2?
A. T1, unlike T2, is sensitive to very low-frequency molecular motions.
B. T2, unlike T1, is sensitive to very low-frequency molecular motions.
C. T1, unlike T2, is sensitive to molecular motions at the Larmor frequency.
D. T2, unlike T1, is sensitive to molecular motions at the Larmor frequency.
Answer: C"
