,question,choice0,choice1,choice2,choice3,answer,prediction,completion
0,The study of older adults and aging is referred to as,Gerontology,Geropsychiatry,Geriatrics,Gero-education,0,A,"The following are multiple choice questions (with answers) about  human aging.

Which of the following persons is more likely to remain at home alone, as of 2019?
A. An Asian man or woman
B. A Hispanic man
C. An African American woman
D. A white man or woman
Answer: C

The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the
A. Adolescence advantage
B. Reminiscence bump
C. Memorial memorial
D. Quadratic retrieval spike
Answer: B

When older adults move to a new state after retirement, which of the following is the more likely destination?
A. Texas
B. California
C. Hawaii
D. Vermont
Answer: A

Which element in tobacco smoke is responsible for cancers?
A. Nicotine
B. Tar
C. Carbon monoxide
D. Smoke particles
Answer: B

All other things being equal, which of the following persons is more likely to show osteoporosis?
A. An older Hispanic American woman
B. An older African American woman
C. An older Asian American woman
D. An older Native American woman
Answer: C

The study of older adults and aging is referred to as
A. Gerontology
B. Geropsychiatry
C. Geriatrics
D. Gero-education
Answer: A"
1,Which of the following factors is associated with a decreased risk of Alzheimer's?,Being African or Hispanic American,Eating fish,A lower level of education,Being married,1,A,"The following are multiple choice questions (with answers) about  human aging.

Which of the following persons is more likely to remain at home alone, as of 2019?
A. An Asian man or woman
B. A Hispanic man
C. An African American woman
D. A white man or woman
Answer: C

The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the
A. Adolescence advantage
B. Reminiscence bump
C. Memorial memorial
D. Quadratic retrieval spike
Answer: B

When older adults move to a new state after retirement, which of the following is the more likely destination?
A. Texas
B. California
C. Hawaii
D. Vermont
Answer: A

Which element in tobacco smoke is responsible for cancers?
A. Nicotine
B. Tar
C. Carbon monoxide
D. Smoke particles
Answer: B

All other things being equal, which of the following persons is more likely to show osteoporosis?
A. An older Hispanic American woman
B. An older African American woman
C. An older Asian American woman
D. An older Native American woman
Answer: C

Which of the following factors is associated with a decreased risk of Alzheimer's?
A. Being African or Hispanic American
B. Eating fish
C. A lower level of education
D. Being married
Answer: A"
2,The docility hypothesis is that,Those with low capabilities are more vulnerable to environmental demands,Those who experience high environmental demands become more docile,Those who experience high environmental demands become less docile,Those with less capability are less vulnerable to environmental demands,0,A,"The following are multiple choice questions (with answers) about  human aging.

Which of the following persons is more likely to remain at home alone, as of 2019?
A. An Asian man or woman
B. A Hispanic man
C. An African American woman
D. A white man or woman
Answer: C

The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the
A. Adolescence advantage
B. Reminiscence bump
C. Memorial memorial
D. Quadratic retrieval spike
Answer: B

When older adults move to a new state after retirement, which of the following is the more likely destination?
A. Texas
B. California
C. Hawaii
D. Vermont
Answer: A

Which element in tobacco smoke is responsible for cancers?
A. Nicotine
B. Tar
C. Carbon monoxide
D. Smoke particles
Answer: B

All other things being equal, which of the following persons is more likely to show osteoporosis?
A. An older Hispanic American woman
B. An older African American woman
C. An older Asian American woman
D. An older Native American woman
Answer: C

The docility hypothesis is that
A. Those with low capabilities are more vulnerable to environmental demands
B. Those who experience high environmental demands become more docile
C. Those who experience high environmental demands become less docile
D. Those with less capability are less vulnerable to environmental demands
Answer: A"
3,Normal memory seems to be improved by,Aerobic exercise,Taking acetylcholine,Taking gingko,Increasing social contacts,0,A,"The following are multiple choice questions (with answers) about  human aging.

Which of the following persons is more likely to remain at home alone, as of 2019?
A. An Asian man or woman
B. A Hispanic man
C. An African American woman
D. A white man or woman
Answer: C

The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the
A. Adolescence advantage
B. Reminiscence bump
C. Memorial memorial
D. Quadratic retrieval spike
Answer: B

When older adults move to a new state after retirement, which of the following is the more likely destination?
A. Texas
B. California
C. Hawaii
D. Vermont
Answer: A

Which element in tobacco smoke is responsible for cancers?
A. Nicotine
B. Tar
C. Carbon monoxide
D. Smoke particles
Answer: B

All other things being equal, which of the following persons is more likely to show osteoporosis?
A. An older Hispanic American woman
B. An older African American woman
C. An older Asian American woman
D. An older Native American woman
Answer: C

Normal memory seems to be improved by
A. Aerobic exercise
B. Taking acetylcholine
C. Taking gingko
D. Increasing social contacts
Answer: A"
4,The perspective that development is embedded in history means that,Change can always occur regardless of age,Sociocultural conditions must always be considered,"Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)",Some characteristics change with age while others do not,1,C,"The following are multiple choice questions (with answers) about  human aging.

Which of the following persons is more likely to remain at home alone, as of 2019?
A. An Asian man or woman
B. A Hispanic man
C. An African American woman
D. A white man or woman
Answer: C

The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the
A. Adolescence advantage
B. Reminiscence bump
C. Memorial memorial
D. Quadratic retrieval spike
Answer: B

When older adults move to a new state after retirement, which of the following is the more likely destination?
A. Texas
B. California
C. Hawaii
D. Vermont
Answer: A

Which element in tobacco smoke is responsible for cancers?
A. Nicotine
B. Tar
C. Carbon monoxide
D. Smoke particles
Answer: B

All other things being equal, which of the following persons is more likely to show osteoporosis?
A. An older Hispanic American woman
B. An older African American woman
C. An older Asian American woman
D. An older Native American woman
Answer: C

The perspective that development is embedded in history means that
A. Change can always occur regardless of age
B. Sociocultural conditions must always be considered
C. Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)
D. Some characteristics change with age while others do not
Answer: C"
5,"The answer ""both play an important role"" is clearly applicable to the question of",Nature vs. nurture,Mechanistic vs organismic,Continuity vs. discontinuity,All of these questions,3,D,"The following are multiple choice questions (with answers) about  human aging.

Which of the following persons is more likely to remain at home alone, as of 2019?
A. An Asian man or woman
B. A Hispanic man
C. An African American woman
D. A white man or woman
Answer: C

The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the
A. Adolescence advantage
B. Reminiscence bump
C. Memorial memorial
D. Quadratic retrieval spike
Answer: B

When older adults move to a new state after retirement, which of the following is the more likely destination?
A. Texas
B. California
C. Hawaii
D. Vermont
Answer: A

Which element in tobacco smoke is responsible for cancers?
A. Nicotine
B. Tar
C. Carbon monoxide
D. Smoke particles
Answer: B

All other things being equal, which of the following persons is more likely to show osteoporosis?
A. An older Hispanic American woman
B. An older African American woman
C. An older Asian American woman
D. An older Native American woman
Answer: C

The answer ""both play an important role"" is clearly applicable to the question of
A. Nature vs. nurture
B. Mechanistic vs organismic
C. Continuity vs. discontinuity
D. All of these questions
Answer: D"
6,Which of the following does NOT usually occur to the lens of the eye as one grows older?,It becomes thicker,It yellows,It becomes clouded,It fills with fluid,3,B,"The following are multiple choice questions (with answers) about  human aging.

Which of the following persons is more likely to remain at home alone, as of 2019?
A. An Asian man or woman
B. A Hispanic man
C. An African American woman
D. A white man or woman
Answer: C

The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the
A. Adolescence advantage
B. Reminiscence bump
C. Memorial memorial
D. Quadratic retrieval spike
Answer: B

When older adults move to a new state after retirement, which of the following is the more likely destination?
A. Texas
B. California
C. Hawaii
D. Vermont
Answer: A

Which element in tobacco smoke is responsible for cancers?
A. Nicotine
B. Tar
C. Carbon monoxide
D. Smoke particles
Answer: B

All other things being equal, which of the following persons is more likely to show osteoporosis?
A. An older Hispanic American woman
B. An older African American woman
C. An older Asian American woman
D. An older Native American woman
Answer: C

Which of the following does NOT usually occur to the lens of the eye as one grows older?
A. It becomes thicker
B. It yellows
C. It becomes clouded
D. It fills with fluid
Answer: B"
7,The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,Technohouse,Compuhouse,Futurehouse,Smarthouse,3,A,"The following are multiple choice questions (with answers) about  human aging.

Which of the following persons is more likely to remain at home alone, as of 2019?
A. An Asian man or woman
B. A Hispanic man
C. An African American woman
D. A white man or woman
Answer: C

The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the
A. Adolescence advantage
B. Reminiscence bump
C. Memorial memorial
D. Quadratic retrieval spike
Answer: B

When older adults move to a new state after retirement, which of the following is the more likely destination?
A. Texas
B. California
C. Hawaii
D. Vermont
Answer: A

Which element in tobacco smoke is responsible for cancers?
A. Nicotine
B. Tar
C. Carbon monoxide
D. Smoke particles
Answer: B

All other things being equal, which of the following persons is more likely to show osteoporosis?
A. An older Hispanic American woman
B. An older African American woman
C. An older Asian American woman
D. An older Native American woman
Answer: C

The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as
A. Technohouse
B. Compuhouse
C. Futurehouse
D. Smarthouse
Answer: A"
8,The reaction time difference between younger and older adults is reduced when older adults,Practice regular aerobic exercise,Lift weights on a regular schedule,Consume large quantities of vitamins,Practice Tai chi,0,A,"The following are multiple choice questions (with answers) about  human aging.

Which of the following persons is more likely to remain at home alone, as of 2019?
A. An Asian man or woman
B. A Hispanic man
C. An African American woman
D. A white man or woman
Answer: C

The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the
A. Adolescence advantage
B. Reminiscence bump
C. Memorial memorial
D. Quadratic retrieval spike
Answer: B

When older adults move to a new state after retirement, which of the following is the more likely destination?
A. Texas
B. California
C. Hawaii
D. Vermont
Answer: A

Which element in tobacco smoke is responsible for cancers?
A. Nicotine
B. Tar
C. Carbon monoxide
D. Smoke particles
Answer: B

All other things being equal, which of the following persons is more likely to show osteoporosis?
A. An older Hispanic American woman
B. An older African American woman
C. An older Asian American woman
D. An older Native American woman
Answer: C

The reaction time difference between younger and older adults is reduced when older adults
A. Practice regular aerobic exercise
B. Lift weights on a regular schedule
C. Consume large quantities of vitamins
D. Practice Tai chi
Answer: A"
9,A major difference between programmed and unprogrammed theories of senescence is that programmed theories,Attribute senescence only to environmental factors,Are far too difficulty to test,Claim that senescence follows a predetermined plan,Rely too heavily on computer models,2,C,"The following are multiple choice questions (with answers) about  human aging.

Which of the following persons is more likely to remain at home alone, as of 2019?
A. An Asian man or woman
B. A Hispanic man
C. An African American woman
D. A white man or woman
Answer: C

The finding that adults tend to remember events from their adolescence better than from other periods in their lives is referred to as the
A. Adolescence advantage
B. Reminiscence bump
C. Memorial memorial
D. Quadratic retrieval spike
Answer: B

When older adults move to a new state after retirement, which of the following is the more likely destination?
A. Texas
B. California
C. Hawaii
D. Vermont
Answer: A

Which element in tobacco smoke is responsible for cancers?
A. Nicotine
B. Tar
C. Carbon monoxide
D. Smoke particles
Answer: B

All other things being equal, which of the following persons is more likely to show osteoporosis?
A. An older Hispanic American woman
B. An older African American woman
C. An older Asian American woman
D. An older Native American woman
Answer: C

A major difference between programmed and unprogrammed theories of senescence is that programmed theories
A. Attribute senescence only to environmental factors
B. Are far too difficulty to test
C. Claim that senescence follows a predetermined plan
D. Rely too heavily on computer models
Answer: C"
